Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697135828.850155	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135830.134546	1.000E-5	3.285E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135831.401717	1.000E-3	5.616E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135832.690475	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135833.955309	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135835.244270	1.000E-5	3.276E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135836.513591	1.000E-3	5.607E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135837.800670	1.000E-5	3.286E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135839.065686	1.000E-3	5.615E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135840.343162	1.000E-5	3.277E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135841.614393	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135842.899415	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135844.169358	1.000E-3	5.613E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135845.455005	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135846.721325	1.000E-3	5.607E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135848.010807	1.000E-5	3.287E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135849.269517	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135850.543231	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135851.815284	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135853.103402	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135854.378370	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135855.663594	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135856.929175	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135858.215472	1.000E-5	3.276E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135859.483006	1.000E-3	5.614E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135860.770977	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
