#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.328610E-12
#36696_039_PSS_XX_HM_Interstrip
#Date/Time: 9/14/2021 5:35:20 PM
#Sensor Name: 36696_039_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3714500179.496789	1.601297	-20.000000	25.130151	-2.395900E-5	5.337680E-12	-3.448223E-7	-3.471451E-7	-3.494750E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.336100E-12
#36696_039_PSS_XX_HM_Interstrip
#Date/Time: 9/14/2021 5:40:21 PM
#Sensor Name: 36696_039_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC
50	3714501570.651443	1.559175	-20.000000	24.780151	-2.586600E-5	5.432000E-12	-3.629613E-7	-3.651205E-7	-3.673383E-7
51	3714501593.024539	1.566447	-20.000000	24.755738	-2.584900E-5	5.432140E-12	-3.626901E-7	-3.649068E-7	-3.671614E-7
52	3714501614.917085	1.568301	-20.000000	24.760434	-2.585400E-5	5.432150E-12	-3.625654E-7	-3.647762E-7	-3.670290E-7
53	3714501637.193725	1.596336	-20.000000	24.753179	-2.585800E-5	5.431690E-12	-3.624226E-7	-3.646198E-7	-3.669127E-7
54	3714501658.979648	1.649216	-20.000000	24.753319	-2.585800E-5	5.431010E-12	-3.623115E-7	-3.645499E-7	-3.668134E-7
55	3714501681.029506	1.576193	-20.000000	24.745769	-2.586400E-5	5.428780E-12	-3.620750E-7	-3.642428E-7	-3.664385E-7
56	3714501703.332024	1.591710	-20.000000	24.742044	-2.586100E-5	5.426540E-12	-3.619394E-7	-3.641406E-7	-3.663075E-7
57	3714501725.239181	1.585388	-20.000000	24.740696	-2.586000E-5	5.421290E-12	-3.623251E-7	-3.644932E-7	-3.666900E-7
58	3714501747.106349	1.573278	-20.000000	24.732135	-2.585500E-5	5.404120E-12	-3.636715E-7	-3.658954E-7	-3.680107E-7
59	3714501769.438120	1.532459	-20.000000	24.727935	-2.585300E-5	5.345590E-12	-3.687420E-7	-3.708549E-7	-3.730051E-7
