#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.345810E-12
#34252_008_PSS_XX_HM_IrradSensor_AfterAlibava_Interstrip
#Date/Time: 6/3/2021 12:09:34 PM
#Sensor Name: 34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Type: P
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC, after Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
24	3705582775.111001	3.089052	-20.000000	24.194273	-1.550300E-5	5.449080E-12	-2.224854E-7	-2.212449E-7	-2.217714E-7	-2.224549E-7	-2.225149E-7	-2.223337E-7
25	3705582807.157078	3.061322	-20.000000	24.175605	-1.560200E-5	4.619200E-12	-2.214404E-7	-2.089077E-7	-2.075083E-7	-2.080985E-7	-2.092834E-7	-2.089519E-7
26	3705582839.077167	3.077134	-20.000000	24.171958	-1.543300E-5	5.448440E-12	-2.212874E-7	-2.207603E-7	-2.215271E-7	-2.211733E-7	-2.217206E-7	-2.223116E-7
27	3705582871.141191	3.051785	-20.000000	24.176436	-1.552700E-5	5.449680E-12	-2.211827E-7	-2.207838E-7	-2.207628E-7	-2.218893E-7	-2.222069E-7	-2.223546E-7
28	3705582903.448142	2.998792	-20.000000	24.174021	-1.546400E-5	5.450020E-12	-2.197368E-7	-2.209461E-7	-2.211571E-7	-2.212466E-7	-2.211631E-7	-2.213395E-7
29	3705582935.448402	2.914958	-20.000000	24.166171	-1.536500E-5	5.452280E-12	-2.210193E-7	-2.213027E-7	-2.206114E-7	-2.215737E-7	-2.215009E-7	-2.217175E-7
30	3705582967.604859	3.147523	-20.000000	24.153945	-1.547000E-5	5.450140E-12	-2.199295E-7	-2.209719E-7	-2.216155E-7	-2.222857E-7	-2.215439E-7	-2.224809E-7
31	3705583000.515186	3.135681	-20.000000	24.165062	-1.549000E-5	5.450850E-12	-2.199411E-7	-2.213415E-7	-2.201208E-7	-2.201518E-7	-2.214882E-7	-2.217257E-7
32	3705583032.357407	3.087057	-20.000000	24.149506	-1.555000E-5	5.451400E-12	-2.214539E-7	-2.194716E-7	-2.206267E-7	-2.212436E-7	-2.217334E-7	-2.222315E-7
33	3705583064.732315	3.041725	-20.000000	24.143740	-1.547600E-5	5.450830E-12	-2.204782E-7	-2.208650E-7	-2.211811E-7	-2.206687E-7	-2.220472E-7	-2.229127E-7
34	3705583097.509653	2.996585	-20.000000	24.154065	-1.554600E-5	5.451670E-12	-2.202074E-7	-2.205137E-7	-2.213930E-7	-2.213056E-7	-2.205077E-7	-2.210745E-7
35	3705583129.450413	3.123404	-20.000000	24.142571	-1.545300E-5	5.454030E-12	-2.202301E-7	-2.213226E-7	-2.219068E-7	-2.209343E-7	-2.216014E-7	-2.211477E-7
36	3705583161.363412	2.937098	-20.000000	24.123548	-1.546600E-5	5.450540E-12	-2.195614E-7	-2.219247E-7	-2.212970E-7	-2.206377E-7	-2.217867E-7	-2.213652E-7
37	3705583193.512016	3.056897	-20.000000	24.114075	-1.544300E-5	5.451850E-12	-2.195248E-7	-2.203274E-7	-2.210526E-7	-2.221748E-7	-2.206293E-7	-2.209983E-7
38	3705583225.823485	3.062381	-20.000000	24.111182	-1.542900E-5	5.450530E-12	-2.201859E-7	-2.216427E-7	-2.205723E-7	-2.212635E-7	-2.209676E-7	-2.205474E-7
39	3705583257.853903	2.992114	-20.000000	24.117543	-1.543900E-5	5.451240E-12	-2.207458E-7	-2.200583E-7	-2.213610E-7	-2.221276E-7	-2.209319E-7	-2.222917E-7
40	3705583289.751317	3.078222	-20.000000	24.099748	-1.546300E-5	5.449710E-12	-2.197103E-7	-2.201658E-7	-2.198927E-7	-2.202762E-7	-2.215393E-7	-2.210435E-7
41	3705583321.819570	3.124463	-20.000000	24.110844	-1.536800E-5	5.450600E-12	-2.200339E-7	-2.200080E-7	-2.191814E-7	-2.203319E-7	-2.215546E-7	-2.206591E-7
42	3705583353.742281	3.113960	-20.000000	24.111953	-1.545800E-5	5.452510E-12	-2.190326E-7	-2.191612E-7	-2.205650E-7	-2.209842E-7	-2.203777E-7	-2.213682E-7
43	3705583385.804027	3.130906	-20.000000	24.104047	-1.549500E-5	5.450870E-12	-2.193022E-7	-2.193354E-7	-2.210988E-7	-2.197065E-7	-2.206630E-7	-2.218509E-7
44	3705583417.822203	2.991448	-20.000000	24.066099	-1.542800E-5	5.450400E-12	-2.233825E-7	-2.223964E-7	-2.221000E-7	-2.240626E-7	-2.222297E-7	-2.227207E-7
45	3705583449.825762	3.205510	-20.000000	24.083597	-1.539200E-5	5.452240E-12	-2.224940E-7	-2.238118E-7	-2.224021E-7	-2.237573E-7	-2.240584E-7	-2.256283E-7
46	3705583481.858557	3.092848	-20.000000	24.118990	-1.537800E-5	5.448570E-12	-2.188447E-7	-2.208432E-7	-2.207863E-7	-2.196848E-7	-2.199749E-7	-2.209120E-7
47	3705583513.906030	3.213261	-20.000000	24.092951	-1.538900E-5	5.451180E-12	-1.950183E-7	-2.084150E-7	-2.204115E-7	-2.199947E-7	-2.189195E-7	-2.180791E-7
48	3705583545.933707	2.991634	-20.000000	24.065208	-1.539000E-5	5.448020E-12	-2.191881E-7	-2.207956E-7	-2.211359E-7	-2.208700E-7	-2.218462E-7	-2.225407E-7
49	3705583578.128634	3.143559	-20.000000	24.077177	-1.542500E-5	5.449610E-12	-2.183713E-7	-2.198140E-7	-2.205846E-7	-2.199037E-7	-2.219565E-7	-2.217437E-7
50	3705583610.086541	3.176352	-20.000000	24.068358	-1.539600E-5	5.450980E-12	-2.204707E-7	-2.212004E-7	-2.207531E-7	-2.208185E-7	-2.221645E-7	-2.216980E-7
51	3705583642.540460	3.100790	-20.000000	24.071488	-1.546000E-5	5.449630E-12	-2.201460E-7	-2.197078E-7	-2.215816E-7	-2.210029E-7	-2.209693E-7	-2.231108E-7
52	3705583675.276069	3.044995	-20.000000	24.060294	-1.535800E-5	5.449440E-12	-2.214982E-7	-2.211888E-7	-2.200274E-7	-2.205676E-7	-2.207786E-7	-2.228132E-7
53	3705583707.485313	3.063405	-20.000000	24.058608	-1.533100E-5	5.450740E-12	-2.196789E-7	-2.185866E-7	-2.195072E-7	-2.210572E-7	-2.216586E-7	-2.216909E-7
54	3705583739.718772	3.257698	-20.000000	24.044717	-1.540900E-5	5.449850E-12	-2.200514E-7	-2.192675E-7	-2.203898E-7	-2.205558E-7	-2.202047E-7	-2.223752E-7
55	3705583772.451710	3.185712	-20.000000	24.043270	-1.539500E-5	5.451500E-12	-2.194600E-7	-2.202377E-7	-2.219761E-7	-2.220640E-7	-2.214873E-7	-2.217694E-7
56	3705583804.650130	3.026289	-20.000000	24.038356	-1.523600E-5	5.447680E-12	-2.212951E-7	-2.198045E-7	-2.199581E-7	-2.225510E-7	-2.212600E-7	-2.218183E-7
57	3705583836.685824	3.161410	-20.000000	24.017052	-1.526200E-5	5.444410E-12	-2.211572E-7	-2.206201E-7	-2.215782E-7	-2.223985E-7	-2.229506E-7	-2.213004E-7
