#Open Capacitance 1000Hz:6.203850E-12
#Open Capacitance 1000000Hz:Not Measured
#38202_028_2-S_HM_XX_Unirrad_Single
#Date/Time: 4/1/2022 3:36:25 PM
#Sensor Name: 38202_028_2-S_HM_XX
#Station: Tesla 2
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Cleaved at Brown. Pstop inhomogeneity

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
14	3731686887.459232	4.453018	23.882899	25.207496	-3.080000E-9	-6.323656E-11	8.254450E-11	-5.777128E-11	-5.630587E-11	-5.561312E-11	-5.467332E-11	-5.609090E-11	-5.595949E-11	-7.024338E-7	-3.511552E-6
15	3731686904.590145	4.464593	23.884384	25.160213	-3.080000E-9	-6.133348E-11	8.254700E-11	-5.390283E-11	-5.151851E-11	-5.348178E-11	-5.013633E-11	-5.225986E-11	-5.250014E-11	-7.024149E-7	-3.511442E-6
16	3731686921.684495	4.458225	23.883769	25.144044	-3.070000E-9	-6.143361E-11	8.254060E-11	-4.867881E-11	-5.005714E-11	-5.141638E-11	-5.180418E-11	-5.048913E-11	-5.073676E-11	-7.015032E-7	-3.506888E-6
17	3731686938.758768	4.460428	23.883691	25.159935	-3.080000E-9	-6.223490E-11	8.254340E-11	-5.300061E-11	-5.404598E-11	-5.523713E-11	-5.489544E-11	-5.429479E-11	-5.447071E-11	-7.020363E-7	-3.509578E-6
18	3731686955.954842	4.457608	23.886764	25.206366	-3.080000E-9	-6.403782E-11	8.254360E-11	-5.324059E-11	-5.356279E-11	-5.333071E-11	-5.373211E-11	-5.346655E-11	-5.344675E-11	-7.028726E-7	-3.513701E-6
19	3731686973.137032	4.455721	23.884325	25.224636	-3.080000E-9	-6.048208E-11	8.254480E-11	-5.729092E-11	-5.736625E-11	-5.594284E-11	-5.841143E-11	-5.725286E-11	-5.732859E-11	-7.028899E-7	-3.513870E-6
20	3731686990.483739	4.463190	23.887574	25.190652	-3.080000E-9	-5.852897E-11	8.254580E-11	-5.470397E-11	-5.668306E-11	-5.657059E-11	-5.509279E-11	-5.576260E-11	-5.583169E-11	-7.015432E-7	-3.507097E-6
21	3731687007.630363	4.460356	23.887060	25.218236	-3.080000E-9	-6.023169E-11	8.255300E-11	-5.112060E-11	-5.276409E-11	-5.482177E-11	-5.211342E-11	-5.270497E-11	-5.243876E-11	-7.011843E-7	-3.505294E-6
22	3731687024.697380	4.460358	23.886208	25.165623	-3.070000E-9	-5.978096E-11	8.254780E-11	-5.674722E-11	-5.668408E-11	-5.472022E-11	-5.543427E-11	-5.589645E-11	-5.605918E-11	-7.015843E-7	-3.507287E-6
23	3731687041.714746	4.455015	23.888764	25.185717	-3.080000E-9	-6.098288E-11	8.254610E-11	-5.227662E-11	-5.341682E-11	-5.365354E-11	-5.394751E-11	-5.332362E-11	-5.353518E-11	-7.021179E-7	-3.509990E-6
