#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.323210E-12
#34331_042_2-S_HM_XX_Interstrip
#Date/Time: 9/7/2021 6:40:36 PM
#Sensor Name: 34331_042_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.332800E-12
#34331_042_2-S_HM_XX_Interstrip
#Date/Time: 9/7/2021 6:42:35 PM
#Sensor Name: 34331_042_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
34	3713900278.234855	1.499031	23.500000	26.803782	-2.380000E-9	5.442510E-12	-2.206876E-11	-2.739266E-11	-3.189981E-11
35	3713900301.960553	1.481897	23.500000	26.805982	-2.380000E-9	5.442350E-12	-2.114692E-11	-2.532635E-11	-3.132614E-11
36	3713900325.633007	1.461687	23.500000	26.817436	-2.380000E-9	5.441820E-12	-2.121438E-11	-2.546885E-11	-3.079786E-11
37	3713900349.488219	1.495337	23.500000	26.816584	-2.380000E-9	5.441370E-12	-2.074929E-11	-2.790090E-11	-3.215495E-11
38	3713900373.206351	1.574163	23.500000	26.811374	-2.390000E-9	5.441100E-12	-2.148895E-11	-2.699051E-11	-3.110289E-11
39	3713900396.917600	1.521269	23.500000	26.820805	-2.380000E-9	5.441710E-12	-2.062477E-11	-2.514807E-11	-3.081953E-11
40	3713900420.589966	1.491645	23.500000	26.812166	-2.380000E-9	5.442190E-12	-2.071657E-11	-2.683901E-11	-3.155797E-11
41	3713900444.292328	1.466934	23.500000	26.839790	-2.380000E-9	5.442130E-12	-2.266266E-11	-2.615945E-11	-3.303896E-11
42	3713900467.686389	1.458938	23.500000	26.845436	-2.380000E-9	5.442400E-12	-2.203952E-11	-2.829322E-11	-3.298765E-11
43	3713900491.129806	1.474752	23.500000	26.834340	-2.370000E-9	5.443370E-12	-2.097028E-11	-2.694411E-11	-3.286293E-11
44	3713900514.684558	1.509031	23.500000	26.839512	-2.370000E-9	5.442690E-12	-2.369693E-11	-2.738405E-11	-3.344293E-11
45	3713900538.251627	1.510156	23.500000	26.844130	-2.370000E-9	5.442990E-12	-2.581025E-11	-2.962700E-11	-3.358522E-11
46	3713900561.830321	1.524141	23.500000	26.860083	-2.370000E-9	5.443720E-12	-2.417368E-11	-2.985229E-11	-3.310661E-11
47	3713900585.267248	1.494540	23.500000	26.862281	-2.370000E-9	5.442360E-12	-2.391834E-11	-2.793667E-11	-3.210198E-11
48	3713900608.845222	1.515729	23.500000	26.857525	-2.370000E-9	5.442060E-12	-2.452922E-11	-2.825907E-11	-3.412106E-11
49	3713900632.685367	1.457694	23.500000	26.869930	-2.370000E-9	5.442380E-12	-2.249624E-11	-2.587691E-11	-3.169986E-11
50	3713900656.533029	1.503892	23.500000	26.854514	-2.370000E-9	5.442430E-12	-2.168645E-11	-2.817260E-11	-3.357316E-11
51	3713900680.179099	1.507473	23.500000	26.882138	-2.370000E-9	5.443880E-12	-2.119414E-11	-2.797735E-11	-3.139461E-11
52	3713900703.898010	1.489614	23.500000	26.873221	-2.370000E-9	5.442710E-12	-2.083310E-11	-2.766414E-11	-3.302628E-11
53	3713900727.724715	1.477866	23.500000	26.908475	-2.380000E-9	5.442630E-12	-2.064113E-11	-2.541977E-11	-3.121103E-11
54	3713900751.434206	1.525114	23.500000	26.881465	-2.370000E-9	5.442520E-12	-2.067916E-11	-2.478886E-11	-3.149582E-11
55	3713900775.156365	1.427620	23.500000	26.912496	-2.380000E-9	5.442490E-12	-2.220348E-11	-2.622345E-11	-3.211794E-11
56	3713900798.598680	1.539960	23.500000	26.897416	-2.380000E-9	5.439190E-12	-2.172079E-11	-2.666074E-11	-3.273884E-11
57	3713900822.305752	1.486070	23.500000	26.882634	-2.380000E-9	5.431770E-12	-2.156745E-11	-2.698602E-11	-3.152281E-11
58	3713900845.896908	1.514132	23.500000	26.900369	-2.380000E-9	5.412430E-12	-2.042973E-11	-2.698539E-11	-3.098410E-11
59	3713900869.427967	1.430093	23.500000	26.928390	-2.380000E-9	5.348010E-12	-2.203543E-11	-2.498206E-11	-3.172234E-11
