#Open Capacitance 1000Hz:6.379250E-12
#Open Capacitance 100000Hz:Not Measured
#34341_012_PSS_HM_XX
#Date/Time: 6/29/2021 1:54:55 PM
#Sensor Name: 34341_012_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
30	3707834660.493750	40.443814	23.198353	21.966826	-2.560000E-9	-7.786060E-11	8.958340E-11	-2.612488E-10	-2.608182E-10	-2.602284E-10	-2.690868E-10	-2.628455E-10	-2.610335E-10	-2.557235E-6
31	3707834677.531334	41.266415	23.193281	22.043377	-2.550000E-9	-7.861172E-11	8.958860E-11	-2.628883E-10	-2.631707E-10	-2.616879E-10	-2.621518E-10	-2.624747E-10	-2.625201E-10	-2.559219E-6
32	3707834694.648280	41.285817	23.188405	21.980223	-2.550000E-9	-7.445505E-11	8.959160E-11	-2.636925E-10	-2.613343E-10	-2.601329E-10	-2.619618E-10	-2.617804E-10	-2.616481E-10	-2.558607E-6
33	3707834711.723720	40.428353	23.180182	21.917839	-2.560000E-9	-7.675872E-11	8.959500E-11	-2.617684E-10	-2.615835E-10	-2.612140E-10	-2.612848E-10	-2.614627E-10	-2.614341E-10	-2.558450E-6
34	3707834728.818066	41.978805	23.176556	21.896735	-2.550000E-9	-8.166672E-11	8.960040E-11	-2.635778E-10	-2.622976E-10	-2.643410E-10	-2.633577E-10	-2.633935E-10	-2.634678E-10	-2.558686E-6
35	3707834745.811390	40.023841	23.174455	21.877771	-2.550000E-9	-7.305268E-11	8.960500E-11	-2.613250E-10	-2.631562E-10	-2.598022E-10	-2.614969E-10	-2.614451E-10	-2.614110E-10	-2.558780E-6
36	3707834762.936459	41.898453	23.172156	21.843390	-2.540000E-9	-7.690891E-11	8.960710E-11	-2.628186E-10	-2.620548E-10	-2.660306E-10	-2.632630E-10	-2.635418E-10	-2.630408E-10	-2.560529E-6
37	3707834779.755778	41.676949	23.172631	21.960426	-2.540000E-9	-7.590729E-11	8.960790E-11	-2.643370E-10	-2.617140E-10	-2.617145E-10	-2.621929E-10	-2.624896E-10	-2.619537E-10	-2.561509E-6
38	3707834796.484319	41.226677	23.172392	21.908070	-2.550000E-9	-7.896213E-11	8.961770E-11	-2.601699E-10	-2.618806E-10	-2.603577E-10	-2.609598E-10	-2.608420E-10	-2.606588E-10	-2.557318E-6
39	3707834813.188621	41.295459	23.170670	21.964309	-2.540000E-9	-7.395400E-11	8.962200E-11	-2.639413E-10	-2.627878E-10	-2.621466E-10	-2.633110E-10	-2.630467E-10	-2.630494E-10	-2.558587E-6
40	3707834829.880661	40.702195	23.165795	21.995699	-2.550000E-9	-7.545656E-11	8.962340E-11	-2.623740E-10	-2.640435E-10	-2.622058E-10	-2.615520E-10	-2.625438E-10	-2.622899E-10	-2.559331E-6
41	3707834846.595558	41.403730	23.163179	21.919603	-2.530000E-9	-7.445491E-11	8.963090E-11	-2.615137E-10	-2.627826E-10	-2.615768E-10	-2.636156E-10	-2.623722E-10	-2.621797E-10	-2.557511E-6
42	3707834863.291618	39.863993	23.158878	21.885242	-2.540000E-9	-7.911262E-11	8.963540E-11	-2.604989E-10	-2.627833E-10	-2.618257E-10	-2.614757E-10	-2.616459E-10	-2.616507E-10	-2.562551E-6
43	3707834879.997939	41.171939	23.156540	21.887561	-2.540000E-9	-7.155018E-11	8.963790E-11	-2.594711E-10	-2.605926E-10	-2.607073E-10	-2.626531E-10	-2.608560E-10	-2.606500E-10	-2.562304E-6
44	3707834896.705223	40.857288	23.150655	21.905553	-2.550000E-9	-7.380400E-11	8.964500E-11	-2.620770E-10	-2.633406E-10	-2.619084E-10	-2.615345E-10	-2.622151E-10	-2.619927E-10	-2.563417E-6
45	3707834913.372989	41.106882	23.148018	21.842595	-2.540000E-9	-8.101556E-11	8.964540E-11	-2.613872E-10	-2.599977E-10	-2.606595E-10	-2.614328E-10	-2.608693E-10	-2.610234E-10	-2.564822E-6
46	3707834930.048048	41.742421	23.145403	21.881140	-2.540000E-9	-7.365374E-11	8.964740E-11	-2.604836E-10	-2.649712E-10	-2.603869E-10	-2.611625E-10	-2.617510E-10	-2.608230E-10	-2.565805E-6
47	3707834946.770173	41.169979	23.146751	21.951270	-2.530000E-9	-7.140009E-11	8.965180E-11	-2.619240E-10	-2.631435E-10	-2.614479E-10	-2.625617E-10	-2.622693E-10	-2.622428E-10	-2.566495E-6
48	3707834963.472740	41.979910	23.142351	21.900361	-2.530000E-9	-7.270216E-11	8.965600E-11	-2.602193E-10	-2.642553E-10	-2.624833E-10	-2.605906E-10	-2.618871E-10	-2.615370E-10	-2.568114E-6
49	3707834980.177962	40.550158	23.139914	21.839465	-2.530000E-9	-7.014801E-11	8.965590E-11	-2.630845E-10	-2.612918E-10	-2.628165E-10	-2.630481E-10	-2.625602E-10	-2.629323E-10	-2.567117E-6
50	3707834996.860595	40.589186	23.136743	21.898896	-2.530000E-9	-8.412066E-11	8.966120E-11	-2.616099E-10	-2.647459E-10	-2.614087E-10	-2.617352E-10	-2.623749E-10	-2.616725E-10	-2.567333E-6
51	3707835013.590640	40.744030	23.133356	21.929966	-2.530000E-9	-7.195092E-11	8.966640E-11	-2.609679E-10	-2.630084E-10	-2.602416E-10	-2.621191E-10	-2.615843E-10	-2.615435E-10	-2.566395E-6
52	3707835030.345678	42.454251	23.129410	21.905810	-2.530000E-9	-7.350356E-11	8.966660E-11	-2.598450E-10	-2.616850E-10	-2.622431E-10	-2.620727E-10	-2.614614E-10	-2.618788E-10	-2.564828E-6
53	3707835047.005621	41.184485	23.128242	21.881218	-2.540000E-9	-8.266834E-11	8.967590E-11	-2.611316E-10	-2.592804E-10	-2.594452E-10	-2.599732E-10	-2.599576E-10	-2.597092E-10	-2.564788E-6
54	3707835063.714505	40.334837	23.123704	21.920873	-2.530000E-9	-8.071516E-11	8.967740E-11	-2.603775E-10	-2.597950E-10	-2.600159E-10	-2.600499E-10	-2.600596E-10	-2.600329E-10	-2.566589E-6
55	3707835080.418237	42.246372	23.121226	21.927748	-2.530000E-9	-7.675856E-11	8.968510E-11	-2.623053E-10	-2.682508E-10	-2.625408E-10	-2.602961E-10	-2.633482E-10	-2.624230E-10	-2.567979E-6
56	3707835097.075305	39.857464	23.119938	21.942530	-2.530000E-9	-7.846154E-11	8.968950E-11	-2.622025E-10	-2.610542E-10	-2.603231E-10	-2.621910E-10	-2.614427E-10	-2.616226E-10	-2.567451E-6
57	3707835113.799272	40.845146	23.115995	21.868338	-2.530000E-9	-7.776040E-11	8.969300E-11	-2.616663E-10	-2.607771E-10	-2.596481E-10	-2.620861E-10	-2.610444E-10	-2.612217E-10	-2.570428E-6
58	3707835130.457518	41.312182	23.114429	21.896042	-2.530000E-9	-7.816096E-11	8.969930E-11	-2.620416E-10	-2.611885E-10	-2.613904E-10	-2.589425E-10	-2.608907E-10	-2.612894E-10	-2.566806E-6
59	3707835147.172877	39.854653	23.112390	21.943501	-2.520000E-9	-8.281851E-11	8.970050E-11	-2.626684E-10	-2.609479E-10	-2.617138E-10	-2.587052E-10	-2.610088E-10	-2.613309E-10	-2.571092E-6
60	3707835163.830448	41.120586	23.111735	21.865405	-2.520000E-9	-8.071503E-11	8.971260E-11	-2.632723E-10	-2.621857E-10	-2.648564E-10	-2.619216E-10	-2.630590E-10	-2.627290E-10	-2.567275E-6
