#Open Capacitance 1000Hz:4.561470E-12
#Open Capacitance 1000000Hz:Not Measured
#34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Date/Time: 6/3/2021 11:50:08 AM
#Sensor Name: 34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Type: P
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC, after Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
11	3705580426.602498	2.898305	-20.000000	24.656395	-1.580100E-5	-5.924113E-11	8.789310E-11	-2.243046E-7	-2.242803E-7	-2.242415E-7	-2.242347E-7	-2.242653E-7	-2.242609E-7	-1.760559E-6
12	3705580441.834818	2.784640	-20.000000	24.652631	-1.579700E-5	-5.633736E-11	8.789550E-11	-2.246687E-7	-2.247094E-7	-2.246192E-7	-2.244651E-7	-2.246156E-7	-2.246440E-7	-1.761182E-6
13	3705580456.865090	2.815943	-20.000000	24.653899	-1.576700E-5	-4.952851E-11	8.790380E-11	-2.244761E-7	-2.243544E-7	-2.241949E-7	-2.240070E-7	-2.242581E-7	-2.242747E-7	-1.760558E-6
14	3705580471.672896	2.883262	-20.000000	24.653304	-1.577900E-5	-5.653763E-11	8.791090E-11	-2.243078E-7	-2.243129E-7	-2.243959E-7	-2.245338E-7	-2.243876E-7	-2.243544E-7	-1.754772E-6
15	3705580486.723911	2.748334	-20.000000	24.655722	-1.578300E-5	-5.198171E-11	8.791150E-11	-2.241982E-7	-2.243956E-7	-2.245389E-7	-2.246933E-7	-2.244565E-7	-2.244673E-7	-1.761913E-6
16	3705580501.831521	2.845210	-20.000000	24.645338	-1.576900E-5	-6.064291E-11	8.791360E-11	-2.241227E-7	-2.241291E-7	-2.241491E-7	-2.242023E-7	-2.241508E-7	-2.241391E-7	-1.761757E-6
17	3705580516.824899	2.873503	-20.000000	24.638481	-1.577900E-5	-5.318325E-11	8.791570E-11	-2.249794E-7	-2.250005E-7	-2.248455E-7	-2.246391E-7	-2.248661E-7	-2.249125E-7	-1.761356E-6
18	3705580531.801690	2.820150	-20.000000	24.630792	-1.583600E-5	-5.568649E-11	8.792110E-11	-2.243484E-7	-2.243161E-7	-2.243372E-7	-2.244961E-7	-2.243744E-7	-2.243428E-7	-1.765062E-6
19	3705580546.889320	2.950323	-20.000000	24.625501	-1.581400E-5	-5.838999E-11	8.791610E-11	-2.246997E-7	-2.246334E-7	-2.245250E-7	-2.244725E-7	-2.245826E-7	-2.245792E-7	-1.762069E-6
20	3705580562.334371	2.838098	-20.000000	24.629662	-1.580400E-5	-5.738874E-11	8.792320E-11	-2.233340E-7	-2.234896E-7	-2.236239E-7	-2.236409E-7	-2.235221E-7	-2.235567E-7	-1.759880E-6
