#Open Capacitance 1000Hz:6.562810E-12
#Open Capacitance 100000Hz:Not Measured
#34343_036_PSS_HM_XX
#Date/Time: 7/13/2021 3:11:22 PM
#Sensor Name: 34343_036_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
14	3709048567.935528	1.580048	22.451545	21.797631	-2.070000E-9	-6.974756E-11	9.062790E-11	-2.332635E-10	-2.308329E-10	-2.324307E-10	-2.319137E-10	-2.321102E-10	-2.321722E-10	-2.650629E-6
15	3709048585.035126	1.562944	22.448057	21.785306	-2.070000E-9	-7.160041E-11	9.062610E-11	-2.328117E-10	-2.311912E-10	-2.322380E-10	-2.307445E-10	-2.317463E-10	-2.317146E-10	-2.651071E-6
16	3709048601.721906	1.558596	22.444351	21.753361	-2.070000E-9	-7.119973E-11	9.062030E-11	-2.324070E-10	-2.299605E-10	-2.318608E-10	-2.324596E-10	-2.316720E-10	-2.321339E-10	-2.653777E-6
17	3709048618.365634	1.577026	22.441774	21.772068	-2.080000E-9	-6.869572E-11	9.061830E-11	-2.315477E-10	-2.316286E-10	-2.319822E-10	-2.306513E-10	-2.314525E-10	-2.315882E-10	-2.654244E-6
18	3709048635.049053	1.563267	22.437930	21.776249	-2.070000E-9	-7.455518E-11	9.061920E-11	-2.349001E-10	-2.322601E-10	-2.326931E-10	-2.352250E-10	-2.337696E-10	-2.337966E-10	-2.654608E-6
19	3709048651.920576	1.560800	22.433551	21.781184	-2.070000E-9	-7.340336E-11	9.061890E-11	-2.318708E-10	-2.316167E-10	-2.333487E-10	-2.325307E-10	-2.323417E-10	-2.322007E-10	-2.653221E-6
20	3709048668.560999	1.567697	22.427169	21.802270	-2.070000E-9	-7.791064E-11	9.061680E-11	-2.305365E-10	-2.313277E-10	-2.299547E-10	-2.314565E-10	-2.308188E-10	-2.309321E-10	-2.652554E-6
21	3709048685.214946	1.555274	22.423842	21.782810	-2.070000E-9	-7.505592E-11	9.061160E-11	-2.323271E-10	-2.350264E-10	-2.325690E-10	-2.336715E-10	-2.333985E-10	-2.331202E-10	-2.653666E-6
22	3709048701.905117	1.567070	22.418291	21.766579	-2.070000E-9	-7.605755E-11	9.061260E-11	-2.345358E-10	-2.336604E-10	-2.345646E-10	-2.330065E-10	-2.339418E-10	-2.340981E-10	-2.654471E-6
23	3709048718.570161	1.556255	22.416153	21.718366	-2.060000E-9	-7.170051E-11	9.060900E-11	-2.346925E-10	-2.352369E-10	-2.335857E-10	-2.340655E-10	-2.343952E-10	-2.343790E-10	-2.653853E-6
24	3709048735.256611	1.553842	22.411574	21.745138	-2.060000E-9	-7.084916E-11	9.061080E-11	-2.364141E-10	-2.352955E-10	-2.358944E-10	-2.345321E-10	-2.355340E-10	-2.355950E-10	-2.652812E-6
25	3709048751.983567	1.539952	22.410722	21.708457	-2.070000E-9	-7.124983E-11	9.060800E-11	-2.339255E-10	-2.329945E-10	-2.347613E-10	-2.335233E-10	-2.338012E-10	-2.337244E-10	-2.653031E-6
26	3709048768.620403	1.544666	22.405075	21.745158	-2.070000E-9	-7.480563E-11	9.060420E-11	-2.353058E-10	-2.336423E-10	-2.321197E-10	-2.324036E-10	-2.333678E-10	-2.330229E-10	-2.652270E-6
27	3709048785.326752	1.550877	22.402756	21.701977	-2.060000E-9	-6.754382E-11	9.060320E-11	-2.327263E-10	-2.307391E-10	-2.345043E-10	-2.340167E-10	-2.329966E-10	-2.333715E-10	-2.649340E-6
28	3709048802.033030	1.555768	22.397803	21.728709	-2.060000E-9	-7.345344E-11	9.060360E-11	-2.339237E-10	-2.316938E-10	-2.329087E-10	-2.324300E-10	-2.327391E-10	-2.326694E-10	-2.649780E-6
29	3709048818.667481	1.546804	22.392452	21.755681	-2.060000E-9	-7.325304E-11	9.060470E-11	-2.323236E-10	-2.326053E-10	-2.353433E-10	-2.324727E-10	-2.331862E-10	-2.325390E-10	-2.653386E-6
30	3709048835.400867	1.537298	22.391143	21.723478	-2.060000E-9	-7.119976E-11	9.060470E-11	-2.321172E-10	-2.330586E-10	-2.336674E-10	-2.401688E-10	-2.347530E-10	-2.333630E-10	-2.653428E-6
31	3709048852.074295	1.561236	22.387696	21.740421	-2.060000E-9	-7.325306E-11	9.060100E-11	-2.351443E-10	-2.365302E-10	-2.353903E-10	-2.329591E-10	-2.350060E-10	-2.352673E-10	-2.656684E-6
32	3709048869.129449	1.542995	22.382800	21.734556	-2.060000E-9	-7.545664E-11	9.060210E-11	-2.319941E-10	-2.338476E-10	-2.343101E-10	-2.340302E-10	-2.335455E-10	-2.339389E-10	-2.653638E-6
33	3709048886.210197	1.544272	22.379551	21.757444	-2.050000E-9	-7.235166E-11	9.060000E-11	-2.332168E-10	-2.342564E-10	-2.318322E-10	-2.351165E-10	-2.336055E-10	-2.337366E-10	-2.655305E-6
34	3709048903.263613	1.520125	22.376579	21.637712	-2.060000E-9	-7.756007E-11	9.059880E-11	-2.347306E-10	-2.352379E-10	-2.326881E-10	-2.364361E-10	-2.347732E-10	-2.349843E-10	-2.658107E-6
35	3709048920.199502	1.538554	22.374281	21.699442	-2.060000E-9	-7.340328E-11	9.060220E-11	-2.357308E-10	-2.353414E-10	-2.354146E-10	-2.339183E-10	-2.351013E-10	-2.353780E-10	-2.656188E-6
