#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.308190E-12
#38713_049_2-S_HM_XX_Unirrad_Interstrip
#Date/Time: 2/8/2022 2:18:49 PM
#Sensor Name: 38713_049_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: cleaved at Brown

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
41	3727194245.032040	1.113264	20.000000	30.408226	-2.170000E-9	5.409640E-12	-1.695995E-11	-3.116286E-11	-4.304332E-11	-5.617820E-11	-7.039092E-11	-8.046410E-11
42	3727194280.864755	1.115990	20.000000	30.416431	-2.170000E-9	5.411150E-12	-1.962463E-11	-3.025902E-11	-4.316800E-11	-5.672283E-11	-7.107438E-11	-8.216999E-11
43	3727194316.715865	1.121727	20.000000	30.406184	-2.170000E-9	5.411090E-12	-1.556463E-11	-3.038026E-11	-4.308807E-11	-5.768903E-11	-6.844264E-11	-8.070537E-11
44	3727194352.587976	1.128361	20.000000	30.405452	-2.170000E-9	5.411670E-12	-1.991842E-11	-3.291758E-11	-4.476573E-11	-5.952942E-11	-7.118010E-11	-8.497000E-11
45	3727194387.914249	1.118851	20.000000	30.401925	-2.170000E-9	5.412490E-12	-1.778139E-11	-3.121048E-11	-4.320279E-11	-5.788980E-11	-7.093392E-11	-8.397642E-11
46	3727194423.788654	1.127205	20.000000	30.401844	-2.180000E-9	5.410030E-12	-2.045466E-11	-3.271988E-11	-4.529972E-11	-5.858754E-11	-7.105742E-11	-8.418106E-11
47	3727194459.733151	1.146644	20.000000	30.403034	-2.170000E-9	5.409880E-12	-1.902337E-11	-3.076706E-11	-4.248662E-11	-5.541956E-11	-6.928778E-11	-8.511965E-11
48	3727194495.584020	1.107012	20.000000	30.410743	-2.170000E-9	5.411090E-12	-2.043565E-11	-3.293741E-11	-4.632336E-11	-5.842179E-11	-7.273013E-11	-8.491954E-11
49	3727194531.422680	1.108862	20.000000	30.403727	-2.170000E-9	5.410560E-12	-1.785826E-11	-2.947744E-11	-4.536638E-11	-5.745250E-11	-7.225871E-11	-8.235172E-11
50	3727194567.253489	1.124389	20.000000	30.414984	-2.170000E-9	5.411940E-12	-2.097945E-11	-3.428344E-11	-4.660793E-11	-5.961998E-11	-7.212293E-11	-8.535534E-11
51	3727194603.077825	1.105392	20.000000	30.417699	-2.160000E-9	5.412910E-12	-2.084064E-11	-3.333768E-11	-4.721921E-11	-5.828637E-11	-7.068958E-11	-8.468149E-11
52	3727194638.873049	1.096248	20.000000	30.414805	-2.170000E-9	5.412530E-12	-2.274295E-11	-3.479084E-11	-4.834648E-11	-6.071554E-11	-7.451593E-11	-8.985263E-11
53	3727194674.859978	1.117288	20.000000	30.419860	-2.160000E-9	5.411580E-12	-1.983867E-11	-3.212473E-11	-4.563746E-11	-5.890379E-11	-7.267675E-11	-8.654335E-11
54	3727194710.849852	1.102714	20.000000	30.418036	-2.170000E-9	5.409280E-12	-2.085065E-11	-3.336507E-11	-4.694727E-11	-6.087029E-11	-7.320931E-11	-8.466925E-11
55	3727194746.720516	1.112664	20.000000	30.424774	-2.180000E-9	5.407100E-12	-2.043809E-11	-3.587191E-11	-4.699838E-11	-6.160832E-11	-7.482234E-11	-8.694443E-11
56	3727194782.557922	1.115560	20.000000	30.422751	-2.170000E-9	5.405450E-12	-1.872017E-11	-3.406957E-11	-4.554132E-11	-6.052520E-11	-7.219730E-11	-8.716354E-11
57	3727194818.566447	1.100531	20.000000	30.430223	-2.180000E-9	5.398270E-12	-2.015167E-11	-3.254792E-11	-4.336446E-11	-5.699471E-11	-7.077995E-11	-8.365642E-11
58	3727194854.820803	1.124223	20.000000	30.419977	-2.170000E-9	5.379420E-12	-2.036407E-11	-3.215170E-11	-4.507665E-11	-5.627794E-11	-7.206218E-11	-8.464612E-11
59	3727194890.832553	1.105018	20.000000	30.424694	-2.170000E-9	5.314000E-12	-1.909266E-11	-3.347893E-11	-4.845485E-11	-6.056425E-11	-7.378708E-11	-8.608602E-11
