#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.909820E-12
#34341_012_PSS_XX_HM_Interstrip
#Date/Time: 6/29/2021 3:42:03 PM
#Sensor Name: 34341_012_PSS_XX_HM
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Humidity sensor not in chamber, chamber less than 10%

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
11	3707840848.871303	39.805082	22.579719	21.693299	-2.410000E-9	6.000800E-12	-2.590666E-10	-3.408331E-10	-4.203359E-10
12	3707840874.576150	39.549093	22.578132	21.748151	-2.410000E-9	6.000660E-12	-2.573638E-10	-3.389462E-10	-4.194246E-10
13	3707840900.258866	39.876202	22.573317	21.692229	-2.410000E-9	6.000190E-12	-2.582922E-10	-3.399426E-10	-4.198229E-10
14	3707840925.946750	39.310450	22.572070	21.648392	-2.410000E-9	6.000800E-12	-2.546056E-10	-3.375256E-10	-4.192771E-10
15	3707840951.630237	38.874102	22.570504	21.712875	-2.410000E-9	6.001140E-12	-2.574372E-10	-3.375767E-10	-4.179691E-10
16	3707840977.323197	38.860685	22.565688	21.689810	-2.410000E-9	6.000530E-12	-2.575312E-10	-3.377922E-10	-4.191551E-10
17	3707841002.999132	39.149609	22.565055	21.585655	-2.410000E-9	6.002130E-12	-2.589750E-10	-3.405879E-10	-4.194999E-10
18	3707841028.626368	38.412181	22.560834	21.695953	-2.420000E-9	6.001080E-12	-2.592508E-10	-3.407851E-10	-4.209603E-10
19	3707841054.313330	38.150175	22.559229	21.688325	-2.410000E-9	6.000690E-12	-2.590023E-10	-3.448839E-10	-4.198855E-10
20	3707841080.091378	37.926233	22.555068	21.581948	-2.410000E-9	6.001020E-12	-2.599489E-10	-3.385122E-10	-4.186604E-10
21	3707841105.791862	37.995028	22.551301	21.677564	-2.410000E-9	6.001600E-12	-2.559081E-10	-3.370545E-10	-4.172947E-10
