#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.326020E-12
#36697_036_PSS_HM_XX_Irrad_1100min_Interstrip
#Date/Time: 12/22/2021 2:43:53 PM
#Sensor Name: 36697_036_PSS_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
26	3723047940.845033	1.264595	-20.000000	25.421774	-1.513200E-5	5.427240E-12	-2.178047E-7	-2.182091E-7	-2.186949E-7	-2.190751E-7	-2.195094E-7	-2.199375E-7
27	3723047973.752613	1.259516	-20.000000	25.402649	-1.518700E-5	5.428110E-12	-2.174844E-7	-2.179891E-7	-2.184031E-7	-2.188744E-7	-2.193452E-7	-2.197643E-7
28	3723048006.790880	1.266428	-20.000000	25.383904	-1.517000E-5	5.426700E-12	-2.190751E-7	-2.196584E-7	-2.201439E-7	-2.206733E-7	-2.211803E-7	-2.217149E-7
29	3723048039.804267	1.267848	-20.000000	25.404374	-1.519600E-5	5.428250E-12	-2.207242E-7	-2.211821E-7	-2.217497E-7	-2.223134E-7	-2.227046E-7	-2.234117E-7
30	3723048072.828542	1.264466	-20.000000	25.374291	-1.518500E-5	5.427820E-12	-2.219038E-7	-2.225587E-7	-2.232231E-7	-2.239010E-7	-2.245385E-7	-2.251866E-7
31	3723048106.017522	1.239535	-20.000000	25.371340	-1.512100E-5	5.427270E-12	-2.183858E-7	-2.189310E-7	-2.194512E-7	-2.199257E-7	-2.204382E-7	-2.209727E-7
32	3723048139.079826	1.257726	-20.000000	25.387709	-1.513300E-5	5.426550E-12	-2.152499E-7	-2.156575E-7	-2.160546E-7	-2.164538E-7	-2.168854E-7	-2.172992E-7
33	3723048172.168746	1.287142	-20.000000	25.400530	-1.510700E-5	5.426090E-12	-2.144587E-7	-2.148319E-7	-2.152252E-7	-2.155840E-7	-2.159863E-7	-2.163572E-7
34	3723048205.085076	1.254755	-20.000000	25.369317	-1.516500E-5	5.426680E-12	-2.142310E-7	-2.146155E-7	-2.150154E-7	-2.154005E-7	-2.157939E-7	-2.161932E-7
35	3723048238.118567	1.244460	-20.000000	25.359112	-1.514200E-5	5.426700E-12	-2.148014E-7	-2.152502E-7	-2.156889E-7	-2.161745E-7	-2.166104E-7	-2.170323E-7
36	3723048271.131208	1.242537	-20.000000	25.354613	-1.516700E-5	5.438400E-12	-4.581082E-7	-4.595702E-7	-4.571165E-7	-4.756848E-7	-4.678458E-7	-4.918325E-7
37	3723048304.138721	1.267475	-20.000000	25.357447	-1.518200E-5	5.428910E-12	-2.162739E-7	-2.167621E-7	-2.172399E-7	-2.177591E-7	-2.182973E-7	-2.188822E-7
38	3723048337.165354	1.238792	-20.000000	25.334301	-1.515400E-5	5.427030E-12	-2.141097E-7	-2.145376E-7	-2.149563E-7	-2.153595E-7	-2.158131E-7	-2.161816E-7
39	3723048370.204555	1.258565	-20.000000	25.327268	-1.515200E-5	5.428280E-12	-2.147901E-7	-2.152882E-7	-2.157199E-7	-2.161993E-7	-2.166197E-7	-2.170694E-7
40	3723048403.242182	1.255893	-20.000000	25.322255	-1.514900E-5	5.427290E-12	-2.149471E-7	-2.153856E-7	-2.158448E-7	-2.162929E-7	-2.167440E-7	-2.171877E-7
41	3723048436.389973	1.266422	-20.000000	25.323681	-1.512200E-5	5.428500E-12	-2.228901E-7	-2.237485E-7	-2.245048E-7	-2.250595E-7	-2.256839E-7	-2.264635E-7
42	3723048469.340041	1.254869	-20.000000	25.323501	-1.514400E-5	5.437020E-12	-3.475514E-7	-3.462091E-7	-3.463870E-7	-3.637698E-7	-3.697654E-7	-3.707302E-7
43	3723048502.401278	1.262718	-20.000000	25.323008	-1.510500E-5	5.443090E-12	-3.845286E-7	-3.900701E-7	-4.956923E-7	-4.888191E-7	-4.145351E-7	-4.253382E-7
44	3723048535.419838	1.266478	-20.000000	25.315634	-1.516100E-5	5.426890E-12	-2.122899E-7	-2.127377E-7	-2.131988E-7	-2.135940E-7	-2.140135E-7	-2.144150E-7
45	3723048568.403918	1.243600	-20.000000	25.314327	-1.516100E-5	5.425590E-12	-2.120623E-7	-2.124202E-7	-2.128676E-7	-2.132710E-7	-2.137107E-7	-2.140737E-7
46	3723048601.493207	1.230193	-20.000000	25.316665	-1.515800E-5	5.423400E-12	-2.118777E-7	-2.122518E-7	-2.127068E-7	-2.130758E-7	-2.134959E-7	-2.139146E-7
47	3723048634.579278	1.299744	-20.000000	25.304953	-1.515200E-5	5.423500E-12	-2.115206E-7	-2.119659E-7	-2.123615E-7	-2.127118E-7	-2.131520E-7	-2.134942E-7
48	3723048667.610932	1.279840	-20.000000	25.287356	-1.515000E-5	5.423130E-12	-2.112686E-7	-2.116761E-7	-2.120446E-7	-2.125133E-7	-2.128705E-7	-2.132698E-7
49	3723048700.662733	1.256420	-20.000000	25.282026	-1.514400E-5	5.423230E-12	-2.109243E-7	-2.113610E-7	-2.117215E-7	-2.121355E-7	-2.125650E-7	-2.129038E-7
50	3723048733.655147	1.249055	-20.000000	25.275288	-1.513900E-5	5.424410E-12	-2.124260E-7	-2.127683E-7	-2.132618E-7	-2.137357E-7	-2.142298E-7	-2.147610E-7
51	3723048766.676606	1.248947	-20.000000	25.249883	-1.512500E-5	5.426320E-12	-2.181448E-7	-2.189006E-7	-2.195786E-7	-2.203819E-7	-2.216351E-7	-2.218427E-7
52	3723048799.676385	1.251227	-20.000000	25.237756	-1.513200E-5	5.424980E-12	-2.101331E-7	-2.105023E-7	-2.109583E-7	-2.113411E-7	-2.116939E-7	-2.120831E-7
53	3723048832.982734	1.247660	-20.000000	25.238171	-1.512900E-5	5.425760E-12	-2.105882E-7	-2.110610E-7	-2.114886E-7	-2.119139E-7	-2.123267E-7	-2.127118E-7
54	3723048866.787898	1.241485	-20.000000	25.234465	-1.510200E-5	5.426100E-12	-2.095643E-7	-2.099656E-7	-2.103635E-7	-2.107798E-7	-2.112009E-7	-2.116606E-7
