#Open Capacitance 1000Hz:4.466210E-12
#Open Capacitance 1000000Hz:Not Measured
#38875_004_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 4/22/2022 3:38:21 PM
#Sensor Name: 38875_004_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
19	3733501469.509555	1.501003	-20.000000	23.526294	-1.231300E-5	-5.283235E-11	8.018890E-11	-1.666371E-7	-1.666306E-7	-1.666280E-7	-1.666189E-7	-1.666286E-7	-1.666293E-7	-4.303738E-7	-2.817865E-6
20	3733501485.602062	1.504820	-20.000000	23.516940	-1.231700E-5	-5.373355E-11	8.018750E-11	-1.666987E-7	-1.667054E-7	-1.667134E-7	-1.667141E-7	-1.667079E-7	-1.667094E-7	-4.295430E-7	-2.814040E-6
21	3733501501.535367	1.566908	-20.000000	23.517356	-1.231500E-5	-5.658723E-11	8.018540E-11	-1.666634E-7	-1.666610E-7	-1.666540E-7	-1.666553E-7	-1.666584E-7	-1.666581E-7	-4.291101E-7	-2.811837E-6
22	3733501517.616597	1.545662	-20.000000	23.525917	-1.230800E-5	-5.383365E-11	8.019020E-11	-1.666932E-7	-1.666888E-7	-1.666855E-7	-1.666856E-7	-1.666883E-7	-1.666872E-7	-4.297098E-7	-2.814875E-6
23	3733501533.583875	1.516180	-20.000000	23.499265	-1.230600E-5	-5.388374E-11	8.018610E-11	-1.667381E-7	-1.667458E-7	-1.667603E-7	-1.667657E-7	-1.667525E-7	-1.667530E-7	-4.296479E-7	-2.814700E-6
24	3733501549.769212	1.489949	-20.000000	23.498135	-1.230500E-5	-5.528551E-11	8.018880E-11	-1.667498E-7	-1.667480E-7	-1.667525E-7	-1.667569E-7	-1.667518E-7	-1.667511E-7	-4.297459E-7	-2.815472E-6
25	3733501565.763482	1.500067	-20.000000	23.512244	-1.230400E-5	-5.954104E-11	8.018560E-11	-1.669268E-7	-1.669208E-7	-1.669222E-7	-1.669403E-7	-1.669275E-7	-1.669245E-7	-4.293695E-7	-2.814162E-6
26	3733501581.760602	1.524419	-20.000000	23.508044	-1.230400E-5	-5.208143E-11	8.018350E-11	-1.669728E-7	-1.669743E-7	-1.669763E-7	-1.669793E-7	-1.669757E-7	-1.669753E-7	-4.291610E-7	-2.813337E-6
27	3733501597.893854	1.527346	-20.000000	23.501940	-1.230900E-5	-5.798900E-11	8.018470E-11	-1.669881E-7	-1.669859E-7	-1.669895E-7	-1.669819E-7	-1.669863E-7	-1.669870E-7	-4.295848E-7	-2.815368E-6
28	3733501613.902891	1.525202	-20.000000	23.482083	-1.230800E-5	-5.453457E-11	8.018840E-11	-1.670068E-7	-1.670050E-7	-1.670003E-7	-1.669930E-7	-1.670013E-7	-1.670027E-7	-4.301349E-7	-2.818196E-6
29	3733501629.955362	1.522210	-20.000000	23.487036	-1.230500E-5	-5.248197E-11	8.018640E-11	-1.670440E-7	-1.670471E-7	-1.670492E-7	-1.670517E-7	-1.670480E-7	-1.670481E-7	-4.286960E-7	-2.811302E-6
30	3733501645.965525	1.527691	-20.000000	23.477605	-1.231000E-5	-5.533556E-11	8.018370E-11	-1.672086E-7	-1.672143E-7	-1.672150E-7	-1.672115E-7	-1.672124E-7	-1.672129E-7	-4.287979E-7	-2.812448E-6
31	3733501661.819429	1.510875	-20.000000	23.483868	-1.230700E-5	-5.468478E-11	8.018280E-11	-1.672330E-7	-1.672284E-7	-1.672277E-7	-1.672227E-7	-1.672279E-7	-1.672280E-7	-4.290206E-7	-2.813616E-6
32	3733501677.876217	1.488742	-20.000000	23.461236	-1.230600E-5	-5.032917E-11	8.018350E-11	-1.672985E-7	-1.672902E-7	-1.672926E-7	-1.673030E-7	-1.672961E-7	-1.672955E-7	-4.294177E-7	-2.815938E-6
33	3733501694.286415	1.559954	-20.000000	23.474275	-1.230500E-5	-5.313276E-11	8.018170E-11	-1.673537E-7	-1.673562E-7	-1.673565E-7	-1.673491E-7	-1.673539E-7	-1.673549E-7	-4.285206E-7	-2.811355E-6
34	3733501710.094558	1.496413	-20.000000	23.461969	-1.229900E-5	-5.358336E-11	8.017820E-11	-1.673315E-7	-1.673338E-7	-1.673320E-7	-1.673384E-7	-1.673339E-7	-1.673329E-7	-4.283510E-7	-2.810727E-6
35	3733501726.194268	1.467349	-20.000000	23.467696	-1.230100E-5	-5.363346E-11	8.018130E-11	-1.673855E-7	-1.673865E-7	-1.673840E-7	-1.673640E-7	-1.673800E-7	-1.673848E-7	-4.292059E-7	-2.815033E-6
36	3733501742.039198	1.505436	-20.000000	23.462327	-1.229700E-5	-5.633689E-11	8.018240E-11	-1.674844E-7	-1.675003E-7	-1.675108E-7	-1.675109E-7	-1.675016E-7	-1.675055E-7	-4.288261E-7	-2.813754E-6
37	3733501758.397405	1.506848	-20.000000	23.455865	-1.229600E-5	-5.388378E-11	8.018400E-11	-1.675187E-7	-1.675084E-7	-1.674974E-7	-1.674900E-7	-1.675036E-7	-1.675029E-7	-4.289028E-7	-2.814195E-6
38	3733501774.317154	1.450336	-20.000000	23.461494	-1.229400E-5	-5.258209E-11	8.018040E-11	-1.675571E-7	-1.675539E-7	-1.675486E-7	-1.675497E-7	-1.675523E-7	-1.675518E-7	-4.285635E-7	-2.812626E-6
39	3733501790.230003	1.484075	-20.000000	23.469639	-1.229700E-5	-5.493512E-11	8.018090E-11	-1.677087E-7	-1.677144E-7	-1.677209E-7	-1.677225E-7	-1.677166E-7	-1.677177E-7	-4.276730E-7	-2.808805E-6
40	3733501806.291178	1.499735	-20.000000	23.480281	-1.229100E-5	-5.318286E-11	8.018260E-11	-1.676809E-7	-1.676875E-7	-1.676847E-7	-1.676789E-7	-1.676830E-7	-1.676828E-7	-4.281023E-7	-2.810750E-6
41	3733501822.310200	1.559184	-20.000000	23.499958	-1.228900E-5	-5.318286E-11	8.018340E-11	-1.676943E-7	-1.676955E-7	-1.677026E-7	-1.677081E-7	-1.677001E-7	-1.676990E-7	-4.289880E-7	-2.815427E-6
42	3733501838.322406	1.569746	-20.000000	23.487969	-1.228800E-5	-5.528556E-11	8.018430E-11	-1.677864E-7	-1.677697E-7	-1.677582E-7	-1.677531E-7	-1.677669E-7	-1.677639E-7	-4.272028E-7	-2.806742E-6
43	3733501854.395460	1.535619	-20.000000	23.486979	-1.228700E-5	-5.663733E-11	8.018490E-11	-1.679712E-7	-1.679467E-7	-1.679275E-7	-1.679207E-7	-1.679415E-7	-1.679371E-7	-4.273784E-7	-2.808255E-6
44	3733501870.633682	1.560112	-20.000000	23.509431	-1.229100E-5	-5.608658E-11	8.018880E-11	-1.679699E-7	-1.679659E-7	-1.679626E-7	-1.679608E-7	-1.679648E-7	-1.679642E-7	-4.284984E-7	-2.813900E-6
45	3733501886.773007	1.537299	-20.000000	23.493299	-1.228900E-5	-5.338313E-11	8.018830E-11	-1.680634E-7	-1.680607E-7	-1.680522E-7	-1.680408E-7	-1.680543E-7	-1.680565E-7	-4.287857E-7	-2.815622E-6
46	3733501902.699649	1.483425	-20.000000	23.471304	-1.228700E-5	-6.009177E-11	8.018660E-11	-1.680634E-7	-1.680600E-7	-1.680712E-7	-1.680881E-7	-1.680707E-7	-1.680673E-7	-4.278115E-7	-2.811072E-6
47	3733501918.544248	1.519182	-20.000000	23.487990	-1.228600E-5	-5.223164E-11	8.018500E-11	-1.680979E-7	-1.680898E-7	-1.680932E-7	-1.680949E-7	-1.680939E-7	-1.680940E-7	-4.277874E-7	-2.810942E-6
48	3733501934.597809	1.513536	-20.000000	23.482896	-1.228900E-5	-5.358338E-11	8.018580E-11	-1.681589E-7	-1.681572E-7	-1.681646E-7	-1.681688E-7	-1.681624E-7	-1.681617E-7	-4.283501E-7	-2.813992E-6
49	3733501950.600434	1.496170	-20.000000	23.485234	-1.228500E-5	-5.553590E-11	8.018520E-11	-1.682726E-7	-1.682778E-7	-1.682812E-7	-1.682854E-7	-1.682793E-7	-1.682795E-7	-4.278255E-7	-2.811854E-6
50	3733501966.693151	1.475337	-20.000000	23.477525	-1.228400E-5	-5.408401E-11	8.018490E-11	-1.684685E-7	-1.684739E-7	-1.684784E-7	-1.684812E-7	-1.684755E-7	-1.684761E-7	-4.281731E-7	-2.814372E-6
51	3733501983.061333	1.477073	-20.000000	23.482618	-1.228500E-5	-5.648711E-11	8.018780E-11	-1.683938E-7	-1.683970E-7	-1.684034E-7	-1.684086E-7	-1.684007E-7	-1.684002E-7	-4.278898E-7	-2.812550E-6
52	3733501998.966483	1.493761	-20.000000	23.489595	-1.228100E-5	-4.882727E-11	8.018980E-11	-1.683721E-7	-1.683684E-7	-1.683575E-7	-1.683469E-7	-1.683612E-7	-1.683630E-7	-4.286478E-7	-2.816110E-6
53	3733502015.170335	1.504465	-20.000000	23.473244	-1.227900E-5	-5.408400E-11	8.018730E-11	-1.684916E-7	-1.684958E-7	-1.684985E-7	-1.685025E-7	-1.684971E-7	-1.684971E-7	-4.283574E-7	-2.815250E-6
54	3733502031.008534	1.504556	-20.000000	23.462743	-1.227600E-5	-5.253203E-11	8.019370E-11	-1.684724E-7	-1.684740E-7	-1.684782E-7	-1.684742E-7	-1.684747E-7	-1.684741E-7	-4.289669E-7	-2.818402E-6
55	3733502047.270757	1.477156	-20.000000	23.477525	-1.227600E-5	-5.338312E-11	8.019520E-11	-1.686739E-7	-1.686688E-7	-1.686656E-7	-1.686579E-7	-1.686666E-7	-1.686672E-7	-4.269654E-7	-2.809177E-6
56	3733502063.026056	1.509838	-20.000000	23.492091	-1.228000E-5	-5.348327E-11	8.019800E-11	-1.687515E-7	-1.687334E-7	-1.687246E-7	-1.687307E-7	-1.687351E-7	-1.687321E-7	-4.278808E-7	-2.813974E-6
57	3733502079.118451	1.493705	-20.000000	23.497086	-1.227600E-5	-5.583627E-11	8.019810E-11	-1.689772E-7	-1.689843E-7	-1.689938E-7	-1.690001E-7	-1.689889E-7	-1.689891E-7	-4.286939E-7	-2.819063E-6
58	3733502095.159605	1.553310	-20.000000	23.496291	-1.227000E-5	-5.638702E-11	8.019910E-11	-1.694467E-7	-1.694419E-7	-1.694372E-7	-1.694313E-7	-1.694393E-7	-1.694395E-7	-4.277717E-7	-2.816165E-6
59	3733502111.045589	1.552066	-20.000000	23.482143	-1.227600E-5	-5.488506E-11	8.019620E-11	-1.707339E-7	-1.707390E-7	-1.707467E-7	-1.707593E-7	-1.707447E-7	-1.707429E-7	-4.252095E-7	-2.808635E-6
60	3733502127.263106	1.479021	-20.000000	23.489792	-1.228100E-5	-5.113023E-11	8.019440E-11	-1.734836E-7	-1.734828E-7	-1.734839E-7	-1.734871E-7	-1.734844E-7	-1.734837E-7	-4.217126E-7	-2.802081E-6
