34341_012_PSS_HM_XX
Date/Time: 6/29/2021 1:43:22 PM
Sensor Name: 34341_012_PSS_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: 

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
 -430.0000	5.492E-11	1.917E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -440.0000	5.640E-11	1.703E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -450.0000	5.499E-11	1.170E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -460.0000	5.595E-11	2.303E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -470.0000	5.486E-11	2.217E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -480.0000	5.499E-11	1.363E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -490.0000	5.101E-11	2.851E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -500.0000	5.545E-11	2.182E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -510.0000	5.043E-11	1.901E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -520.0000	5.489E-11	2.772E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -530.0000	5.575E-11	2.465E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -540.0000	5.495E-11	2.495E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -550.0000	5.625E-11	2.531E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -560.0000	5.533E-11	2.494E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -570.0000	5.508E-11	3.194E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -580.0000	5.429E-11	1.107E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -590.0000	5.752E-11	4.249E-8	   23.5134	   22.2420	   42.4218	    0.0000	
 -600.0000	5.349E-11	2.167E-8	   23.5134	   22.2420	   42.4218	    0.0000	
