#Open Capacitance 1000Hz:4.475470E-12
#Open Capacitance 1000000Hz:Not Measured
#37399_049_PSS_HM_X_Irrad_1100min
#Date/Time: 2/3/2022 12:52:00 PM
#Sensor Name: 37399_049_PSS_HM_X
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: After Alibava Testing

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
49	3726756360.563638	1.282078	-20.000000	26.089712	-1.487500E-5	-5.082984E-11	8.802920E-11	-2.089039E-7	-2.088965E-7	-2.088957E-7	-2.088965E-7	-2.088982E-7	-2.088965E-7	-2.436627E-6
50	3726756376.742864	1.269113	-20.000000	26.092486	-1.487600E-5	-5.408402E-11	8.803020E-11	-2.086594E-7	-2.086594E-7	-2.086616E-7	-2.086528E-7	-2.086583E-7	-2.086594E-7	-2.436042E-6
51	3726756392.687253	1.291031	-20.000000	26.085470	-1.487500E-5	-5.153078E-11	8.802940E-11	-2.083563E-7	-2.083475E-7	-2.083488E-7	-2.083403E-7	-2.083482E-7	-2.083481E-7	-2.437097E-6
52	3726756408.856161	1.294486	-20.000000	26.077345	-1.487100E-5	-5.263219E-11	8.802600E-11	-2.081952E-7	-2.081787E-7	-2.081663E-7	-2.081664E-7	-2.081767E-7	-2.081726E-7	-2.438552E-6
53	3726756424.795067	1.285404	-20.000000	26.078475	-1.486600E-5	-5.012896E-11	8.802260E-11	-2.080690E-7	-2.080633E-7	-2.080718E-7	-2.080841E-7	-2.080720E-7	-2.080704E-7	-2.434776E-6
54	3726756440.957147	1.296021	-20.000000	26.073184	-1.486400E-5	-5.303267E-11	8.802270E-11	-2.079382E-7	-2.079319E-7	-2.079334E-7	-2.079276E-7	-2.079328E-7	-2.079327E-7	-2.436449E-6
55	3726756456.911776	1.279977	-20.000000	26.055429	-1.486100E-5	-4.912769E-11	8.801990E-11	-2.077003E-7	-2.077128E-7	-2.077254E-7	-2.077386E-7	-2.077193E-7	-2.077191E-7	-2.440064E-6
56	3726756473.086183	1.288565	-20.000000	26.056896	-1.485800E-5	-5.253204E-11	8.802010E-11	-2.076734E-7	-2.076536E-7	-2.076519E-7	-2.076517E-7	-2.076576E-7	-2.076528E-7	-2.438999E-6
57	3726756489.020090	1.295801	-20.000000	26.068291	-1.485700E-5	-5.168098E-11	8.802210E-11	-2.075765E-7	-2.075826E-7	-2.075797E-7	-2.075766E-7	-2.075789E-7	-2.075782E-7	-2.441873E-6
58	3726756505.226866	1.279125	-20.000000	26.058361	-1.485200E-5	-5.538568E-11	8.801710E-11	-2.076855E-7	-2.076764E-7	-2.076710E-7	-2.076655E-7	-2.076746E-7	-2.076737E-7	-2.438205E-6
59	3726756521.057267	1.277624	-20.000000	26.057748	-1.485500E-5	-5.273229E-11	8.801340E-11	-2.080062E-7	-2.080068E-7	-2.080207E-7	-2.080373E-7	-2.080178E-7	-2.080138E-7	-2.434671E-6
60	3726756537.280335	1.294173	-20.000000	26.053982	-1.485100E-5	-5.338309E-11	8.801560E-11	-2.100986E-7	-2.100978E-7	-2.100972E-7	-2.100952E-7	-2.100972E-7	-2.100975E-7	-2.430742E-6
