#Open Capacitance 1000Hz:4.950090E-12
#Open Capacitance 100000Hz:4.765720E-12
#34340_040_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 3:55:36 PM
#Sensor Name: 34340_040_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C
1	3711729409.107690	2.062445	-20.000000	22.747104	-1.800000E-8	1.001445E-5	7.274250E-12	5.970630E-12
#Open Capacitance 1000Hz:4.581240E-12
#Open Capacitance 100000Hz:4.378900E-12
#34340_040_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 3:57:55 PM
#Sensor Name: 34340_040_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
19	3711730429.452240	1.909100	-20.000000	22.568855	-2.558000E-5	-5.839029E-11	9.001430E-11	5.195230E-12	-3.584690E-7	-3.584680E-7	-3.584803E-7	-3.584931E-7	-3.584776E-7	-3.584746E-7	-1.750991E-6	-3.587086E-7	-3.587212E-7	-3.587402E-7	-3.587569E-7	-3.587317E-7	-3.587307E-7	-1.753746E-6	-3.580748E-7	-3.587593E-7	-3.594885E-7	-3.602614E-7	-3.608695E-7	-3.616540E-7
20	3711730478.725502	1.853060	-20.000000	22.567548	-2.556800E-5	-5.783951E-11	9.000860E-11	5.195720E-12	-3.581494E-7	-3.581548E-7	-3.581702E-7	-3.581761E-7	-3.581626E-7	-3.581625E-7	-1.751491E-6	-3.583681E-7	-3.583636E-7	-3.583691E-7	-3.583521E-7	-3.583632E-7	-3.583659E-7	-1.753608E-6	-3.576984E-7	-3.585138E-7	-3.590744E-7	-3.598829E-7	-3.606318E-7	-3.615256E-7
21	3711730527.810334	1.915568	-20.000000	22.551021	-2.557400E-5	-6.099363E-11	9.000710E-11	5.195350E-12	-3.580665E-7	-3.580639E-7	-3.580642E-7	-3.580726E-7	-3.580668E-7	-3.580653E-7	-1.751195E-6	-3.581348E-7	-3.581294E-7	-3.581315E-7	-3.581177E-7	-3.581283E-7	-3.581304E-7	-1.755198E-6	-3.574791E-7	-3.582674E-7	-3.589362E-7	-3.596445E-7	-3.604359E-7	-3.610685E-7
22	3711730577.098504	1.817679	-20.000000	22.562236	-2.557100E-5	-5.658790E-11	9.000950E-11	5.195290E-12	-3.578080E-7	-3.577976E-7	-3.577611E-7	-3.577185E-7	-3.577713E-7	-3.577794E-7	-1.752844E-6	-3.579289E-7	-3.579167E-7	-3.579277E-7	-3.579145E-7	-3.579219E-7	-3.579222E-7	-1.753032E-6	-3.572345E-7	-3.578579E-7	-3.585652E-7	-3.593359E-7	-3.600341E-7	-3.608391E-7
23	3711730626.049983	1.839271	-20.000000	22.553457	-2.555600E-5	-6.324655E-11	9.000000E-11	5.195060E-12	-3.572286E-7	-3.572473E-7	-3.572767E-7	-3.573140E-7	-3.572666E-7	-3.572620E-7	-1.750815E-6	-3.574100E-7	-3.573884E-7	-3.573901E-7	-3.573963E-7	-3.573962E-7	-3.573932E-7	-1.753655E-6	-3.567656E-7	-3.575479E-7	-3.581794E-7	-3.590138E-7	-3.597025E-7	-3.605918E-7
24	3711730675.135579	1.817440	-20.000000	22.562197	-2.555500E-5	-5.718868E-11	9.000280E-11	5.195960E-12	-3.569778E-7	-3.569748E-7	-3.569850E-7	-3.570177E-7	-3.569888E-7	-3.569814E-7	-1.751318E-6	-3.571276E-7	-3.571113E-7	-3.571047E-7	-3.571151E-7	-3.571147E-7	-3.571132E-7	-1.754146E-6	-3.564885E-7	-3.571764E-7	-3.578433E-7	-3.586715E-7	-3.594815E-7	-3.601956E-7
25	3711730724.266871	1.845942	-20.000000	22.543706	-2.553900E-5	-5.959186E-11	9.000220E-11	5.195570E-12	-3.566245E-7	-3.566252E-7	-3.566106E-7	-3.565859E-7	-3.566116E-7	-3.566176E-7	-1.751934E-6	-3.566848E-7	-3.567189E-7	-3.567544E-7	-3.567639E-7	-3.567305E-7	-3.567366E-7	-1.754668E-6	-3.561231E-7	-3.567039E-7	-3.573153E-7	-3.581642E-7	-3.588565E-7	-3.597214E-7
26	3711730773.074431	1.846013	-20.000000	22.556034	-2.554600E-5	-6.404766E-11	8.999360E-11	5.195030E-12	-3.563338E-7	-3.562922E-7	-3.562691E-7	-3.562532E-7	-3.562871E-7	-3.562806E-7	-1.752346E-6	-3.564820E-7	-3.564425E-7	-3.564226E-7	-3.564279E-7	-3.564437E-7	-3.564352E-7	-1.750612E-6	-3.557783E-7	-3.565937E-7	-3.573726E-7	-3.580806E-7	-3.588219E-7	-3.595837E-7
27	3711730822.225921	1.837328	-20.000000	22.549099	-2.555000E-5	-5.798974E-11	8.999530E-11	5.194900E-12	-3.561305E-7	-3.561270E-7	-3.561237E-7	-3.561184E-7	-3.561249E-7	-3.561254E-7	-1.748207E-6	-3.560417E-7	-3.560466E-7	-3.560696E-7	-3.560952E-7	-3.560633E-7	-3.560581E-7	-1.751687E-6	-3.555306E-7	-3.562619E-7	-3.569334E-7	-3.575510E-7	-3.583374E-7	-3.590558E-7
28	3711730871.313975	1.908539	-20.000000	22.540260	-2.552700E-5	-6.089352E-11	8.998840E-11	5.194260E-12	-3.555451E-7	-3.555529E-7	-3.555685E-7	-3.555601E-7	-3.555566E-7	-3.555565E-7	-1.749494E-6	-3.556087E-7	-3.555963E-7	-3.555754E-7	-3.555435E-7	-3.555810E-7	-3.555859E-7	-1.753276E-6	-3.549306E-7	-3.556342E-7	-3.563112E-7	-3.572038E-7	-3.578571E-7	-3.586536E-7
29	3711730920.231677	1.871897	-20.000000	22.538971	-2.552800E-5	-5.959184E-11	8.998930E-11	5.194870E-12	-3.552281E-7	-3.552384E-7	-3.552391E-7	-3.552437E-7	-3.552373E-7	-3.552388E-7	-1.750924E-6	-3.551977E-7	-3.551979E-7	-3.551527E-7	-3.551268E-7	-3.551688E-7	-3.551752E-7	-1.754797E-6	-3.546799E-7	-3.551918E-7	-3.560223E-7	-3.567055E-7	-3.574926E-7	-3.583220E-7
