#Open Capacitance 1000Hz:4.513700E-12
#Open Capacitance 1000000Hz:Not Measured
#37398_001_PSS_HM_XX_Unirrad_Single
#Date/Time: 11/3/2021 5:23:11 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Pre-irrad measurement

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
11	3718819630.262967	1.097571	24.421356	28.172813	-2.880000E-9	-5.573632E-11	8.766760E-11	-3.512010E-11	-3.321450E-11	-3.577004E-11	-3.380842E-11	-3.447827E-11	-3.446426E-11	-3.220344E-6
12	3718819650.782582	1.106258	24.503317	28.174657	-2.880000E-9	-5.563620E-11	8.766760E-11	-3.739474E-11	-3.832290E-11	-3.752619E-11	-4.078886E-11	-3.850817E-11	-3.792455E-11	-3.220269E-6
13	3718819671.126922	1.095577	24.528782	28.185577	-2.880000E-9	-5.588653E-11	8.765920E-11	-3.428005E-11	-3.327645E-11	-3.282259E-11	-3.394497E-11	-3.358101E-11	-3.361071E-11	-3.219032E-6
14	3718819687.849656	1.097774	24.562390	28.193145	-2.880000E-9	-5.183127E-11	8.765820E-11	-3.241249E-11	-3.322227E-11	-3.565738E-11	-3.353058E-11	-3.370568E-11	-3.337643E-11	-3.218959E-6
15	3718819704.593801	1.098098	24.606382	28.193145	-2.880000E-9	-5.463486E-11	8.765110E-11	-3.130236E-11	-3.280112E-11	-3.065796E-11	-3.209234E-11	-3.171345E-11	-3.169735E-11	-3.220200E-6
16	3718819721.339618	1.092550	24.618094	28.193265	-2.890000E-9	-5.353345E-11	8.764390E-11	-3.361133E-11	-3.316240E-11	-3.431584E-11	-3.212381E-11	-3.330335E-11	-3.338687E-11	-3.227234E-6
17	3718819738.355897	1.107330	24.637099	28.194592	-2.890000E-9	-5.348340E-11	8.764070E-11	-3.265822E-11	-3.249712E-11	-3.106808E-11	-3.136391E-11	-3.189683E-11	-3.193051E-11	-3.225534E-6
18	3718819755.239647	1.081690	24.637356	28.194888	-2.880000E-9	-5.959126E-11	8.763500E-11	-3.906050E-11	-3.577718E-11	-3.853203E-11	-3.818979E-11	-3.788987E-11	-3.836091E-11	-3.226634E-6
19	3718819771.984313	1.094174	24.659195	28.184842	-2.880000E-9	-5.583643E-11	8.763640E-11	-3.227530E-11	-3.219679E-11	-3.534213E-11	-3.566105E-11	-3.386882E-11	-3.380871E-11	-3.226193E-6
20	3718819789.206697	1.098659	24.701561	28.193184	-2.870000E-9	-5.428443E-11	8.763230E-11	-3.569642E-11	-3.497045E-11	-3.611655E-11	-3.315684E-11	-3.498507E-11	-3.533343E-11	-3.224719E-6
21	3718819805.901100	1.090444	24.757166	28.209236	-2.880000E-9	-5.358356E-11	8.763030E-11	-3.275267E-11	-3.089983E-11	-3.075058E-11	-3.115313E-11	-3.138905E-11	-3.102648E-11	-3.227359E-6
22	3718819822.623806	1.093974	24.767255	28.211694	-2.880000E-9	-5.293266E-11	8.762840E-11	-3.505344E-11	-3.429537E-11	-3.549401E-11	-3.385112E-11	-3.467348E-11	-3.467440E-11	-3.226125E-6
