#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.318600E-12
#37398_001_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 11/3/2021 4:38:33 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Pre-irrad measurement

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
13	3718817220.183873	1.113505	24.199249	27.962083	-2.870000E-9	5.410900E-12	-3.208351E-11	-3.684700E-11	-3.929456E-11	-4.432566E-11	-4.588759E-11	-4.968650E-11
14	3718817256.490450	1.109929	24.190174	27.950888	-2.870000E-9	5.409340E-12	-3.226077E-11	-3.427800E-11	-3.762653E-11	-4.097772E-11	-4.559094E-11	-4.983495E-11
15	3718817292.897905	1.109126	24.345932	27.950294	-2.870000E-9	5.409870E-12	-3.176990E-11	-3.619033E-11	-3.797368E-11	-4.143916E-11	-4.578887E-11	-4.867413E-11
16	3718817329.196234	1.108860	24.293816	27.949361	-2.870000E-9	5.410010E-12	-2.998576E-11	-3.367980E-11	-3.753088E-11	-3.877141E-11	-4.157224E-11	-4.717230E-11
17	3718817365.510697	1.110305	24.445332	27.946826	-2.870000E-9	5.408220E-12	-3.168057E-11	-3.601800E-11	-3.931830E-11	-4.207252E-11	-4.706497E-11	-4.847788E-11
18	3718817401.850820	1.109242	24.400052	27.953423	-2.870000E-9	5.409040E-12	-2.995283E-11	-3.232578E-11	-3.707086E-11	-4.174152E-11	-4.370539E-11	-4.666303E-11
19	3718817438.169199	1.103480	24.350530	27.960855	-2.870000E-9	5.410030E-12	-3.216999E-11	-3.500600E-11	-3.716001E-11	-4.189814E-11	-4.671271E-11	-4.729478E-11
20	3718817474.479443	1.106134	24.535717	27.970665	-2.870000E-9	5.410610E-12	-2.752305E-11	-3.221744E-11	-3.584524E-11	-3.913778E-11	-4.201895E-11	-4.742439E-11
21	3718817510.772654	1.099973	24.651605	27.962400	-2.870000E-9	5.411130E-12	-3.143566E-11	-3.497639E-11	-3.984105E-11	-4.326178E-11	-4.675873E-11	-4.813706E-11
22	3718817547.098339	1.100357	24.716306	27.979145	-2.870000E-9	5.410290E-12	-3.390102E-11	-3.645817E-11	-3.924778E-11	-4.448350E-11	-4.813687E-11	-5.084366E-11
23	3718817583.410978	1.106640	24.789112	27.985330	-2.870000E-9	5.410930E-12	-3.070908E-11	-3.273692E-11	-3.586835E-11	-3.916291E-11	-4.253190E-11	-4.470799E-11
24	3718817619.757113	1.115515	24.827873	27.993670	-2.870000E-9	5.411520E-12	-2.910074E-11	-3.350339E-11	-3.626558E-11	-4.067456E-11	-4.455178E-11	-4.886754E-11
25	3718817656.027378	1.108957	24.944356	27.997475	-2.870000E-9	5.410630E-12	-3.106706E-11	-3.454829E-11	-3.806059E-11	-4.331696E-11	-4.683663E-11	-4.851345E-11
26	3718817692.312288	1.111765	24.952062	28.008574	-2.870000E-9	5.410530E-12	-3.318915E-11	-3.583584E-11	-3.919052E-11	-4.326321E-11	-4.772778E-11	-5.206829E-11
27	3718817728.597070	1.115731	24.918831	28.011527	-2.870000E-9	5.407700E-12	-3.421196E-11	-3.799904E-11	-4.075163E-11	-4.453113E-11	-4.801644E-11	-5.055560E-11
28	3718817764.872478	1.107211	24.819075	28.001956	-2.870000E-9	5.408110E-12	-2.794502E-11	-3.230247E-11	-3.535826E-11	-3.818834E-11	-4.317160E-11	-4.716576E-11
29	3718817801.157033	1.107676	24.767808	28.014379	-2.880000E-9	5.408960E-12	-3.085871E-11	-3.328277E-11	-3.764636E-11	-4.079270E-11	-4.477299E-11	-4.682697E-11
30	3718817837.446808	1.105299	24.637395	28.019987	-2.870000E-9	5.410220E-12	-3.077797E-11	-3.348128E-11	-3.478296E-11	-3.837151E-11	-4.184416E-11	-4.669922E-11
31	3718817904.811244	1.118461	24.496540	28.041488	-2.880000E-9	5.415570E-12	-2.935157E-11	-3.169099E-11	-3.547950E-11	-3.747320E-11	-4.369516E-11	-4.712609E-11
32	3718817941.266889	1.109061	24.565382	28.031086	-2.870000E-9	5.411310E-12	-3.163395E-11	-3.506836E-11	-3.874463E-11	-4.363300E-11	-4.570665E-11	-4.937412E-11
33	3718817977.904154	1.101894	24.440221	28.018681	-2.870000E-9	5.411910E-12	-2.894250E-11	-3.337865E-11	-3.488069E-11	-3.772119E-11	-4.399159E-11	-4.566495E-11
34	3718818014.188312	1.106667	24.429023	28.032948	-2.870000E-9	5.410820E-12	-3.091411E-11	-3.395681E-11	-3.839299E-11	-4.115723E-11	-4.303932E-11	-4.903784E-11
35	3718818050.616572	1.098646	24.459779	28.032849	-2.870000E-9	5.410530E-12	-3.511312E-11	-3.806365E-11	-4.183700E-11	-4.403824E-11	-4.653076E-11	-5.013242E-11
36	3718818086.867136	1.103719	24.453714	28.042143	-2.870000E-9	5.409670E-12	-2.935158E-11	-3.284200E-11	-3.725628E-11	-4.117869E-11	-4.591254E-11	-4.780647E-11
37	3718818123.269096	1.112481	24.470917	28.047096	-2.870000E-9	5.409670E-12	-3.083705E-11	-3.372580E-11	-3.620158E-11	-4.077167E-11	-4.389901E-11	-4.667347E-11
38	3718818159.604793	1.118442	24.504545	28.057857	-2.870000E-9	5.408400E-12	-2.823858E-11	-3.118296E-11	-3.594767E-11	-3.766171E-11	-4.386729E-11	-4.645513E-11
39	3718818196.084319	1.114348	24.528029	28.052904	-2.870000E-9	5.408860E-12	-3.125123E-11	-3.171880E-11	-3.535642E-11	-3.929479E-11	-4.354448E-11	-4.768218E-11
