#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.281170E-12
#38693_001_2-S_HM_XX_Unirrad_Interstrip
#Date/Time: 4/18/2022 10:57:29 AM
#Sensor Name: 38693_001_2-S_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
48	3733140418.943405	1.274815	23.500000	27.134343	-3.470000E-9	5.393170E-12	-3.503617E-11	-4.170505E-11	-4.483077E-11	-4.943602E-11	-5.417499E-11	-6.030497E-11
49	3733140454.842297	1.288780	23.500000	27.133114	-3.470000E-9	5.393370E-12	-3.197159E-11	-3.912888E-11	-4.180912E-11	-4.887381E-11	-5.316649E-11	-5.834482E-11
50	3733140491.010346	1.319939	23.500000	27.133075	-3.470000E-9	5.392410E-12	-3.529889E-11	-4.153703E-11	-4.461263E-11	-4.890592E-11	-5.524711E-11	-5.882628E-11
51	3733140527.011189	1.277840	23.500000	27.137039	-3.470000E-9	5.391660E-12	-3.454245E-11	-3.844094E-11	-4.345100E-11	-4.806649E-11	-5.385177E-11	-5.654489E-11
52	3733140562.886529	1.262026	23.500000	27.140091	-3.480000E-9	5.391880E-12	-3.193296E-11	-3.782355E-11	-4.216630E-11	-4.893148E-11	-5.255623E-11	-5.705210E-11
53	3733140598.761056	1.249269	23.500000	27.148195	-3.470000E-9	5.392000E-12	-3.469004E-11	-3.656887E-11	-4.248686E-11	-4.796548E-11	-5.214756E-11	-5.878352E-11
54	3733140634.636175	1.275043	23.500000	27.154873	-3.470000E-9	5.390250E-12	-3.379154E-11	-3.949832E-11	-4.369715E-11	-4.807792E-11	-5.403127E-11	-5.905114E-11
55	3733140670.653497	1.306108	23.500000	27.161236	-3.470000E-9	5.390830E-12	-3.247369E-11	-3.702437E-11	-4.250789E-11	-4.733662E-11	-5.260876E-11	-5.573693E-11
56	3733140706.552477	1.320207	23.500000	27.171777	-3.470000E-9	5.385240E-12	-3.226416E-11	-3.603039E-11	-3.994217E-11	-4.509513E-11	-5.139335E-11	-5.438289E-11
57	3733140742.581749	1.253341	23.500000	27.169538	-3.470000E-9	5.377610E-12	-3.697530E-11	-4.075299E-11	-4.636306E-11	-4.980464E-11	-5.206393E-11	-5.811499E-11
58	3733140778.445737	1.291366	23.500000	27.176314	-3.480000E-9	5.358190E-12	-3.130817E-11	-3.790430E-11	-4.293416E-11	-4.684207E-11	-5.304218E-11	-5.394643E-11
59	3733140814.709733	1.349828	23.500000	27.184481	-3.470000E-9	5.296180E-12	-3.276769E-11	-3.892917E-11	-4.488517E-11	-4.842078E-11	-5.242640E-11	-5.806574E-11
