#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.311780E-12
#38212_044_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 12/9/2021 1:32:46 PM
#Sensor Name: 38212_044_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
22	3721920399.771262	1.102408	23.500000	27.999517	-3.310000E-9	5.412160E-12	-3.118890E-11	-5.115646E-11	-6.885801E-11	-8.737201E-11	-1.067360E-10	-1.251090E-10
23	3721920436.177019	1.094292	23.500000	28.009088	-3.310000E-9	5.412750E-12	-2.802046E-11	-4.681658E-11	-6.674430E-11	-8.574427E-11	-1.062873E-10	-1.219536E-10
24	3721920472.893709	1.102475	23.500000	28.007444	-3.310000E-9	5.410610E-12	-2.808957E-11	-4.771633E-11	-6.790574E-11	-8.681614E-11	-1.022167E-10	-1.221239E-10
25	3721920509.328197	1.086620	23.500000	28.011249	-3.300000E-9	5.411870E-12	-2.976313E-11	-4.533685E-11	-6.737645E-11	-8.626700E-11	-1.049260E-10	-1.236658E-10
26	3721920545.641861	1.094010	23.500000	28.013468	-3.300000E-9	5.411980E-12	-3.049135E-11	-5.161442E-11	-6.870816E-11	-8.556045E-11	-1.051989E-10	-1.255308E-10
27	3721920581.864695	1.083800	23.500000	28.020127	-3.310000E-9	5.412020E-12	-3.034517E-11	-5.001855E-11	-6.442043E-11	-8.212134E-11	-1.020644E-10	-1.213031E-10
28	3721920618.148410	1.090548	23.500000	28.024208	-3.310000E-9	5.412340E-12	-3.053447E-11	-5.006209E-11	-6.983095E-11	-8.829137E-11	-1.067044E-10	-1.259022E-10
29	3721920654.446771	1.095779	23.500000	28.032829	-3.310000E-9	5.411980E-12	-2.997472E-11	-4.867270E-11	-6.593678E-11	-8.462087E-11	-1.051104E-10	-1.237241E-10
30	3721920691.075756	1.093142	23.500000	28.033086	-3.300000E-9	5.411620E-12	-3.436387E-11	-5.257082E-11	-7.253616E-11	-9.048014E-11	-1.081263E-10	-1.295212E-10
31	3721920727.361510	1.087305	23.500000	28.035148	-3.300000E-9	5.410270E-12	-2.999904E-11	-4.800725E-11	-6.718855E-11	-8.557025E-11	-1.063947E-10	-1.241810E-10
32	3721920763.623576	1.083563	23.500000	28.040122	-3.310000E-9	5.413180E-12	-3.583686E-11	-5.670071E-11	-7.519305E-11	-9.188688E-11	-1.118459E-10	-1.271788E-10
33	3721920799.864625	1.088912	23.500000	28.044343	-3.310000E-9	5.410210E-12	-3.204879E-11	-5.023874E-11	-7.138718E-11	-8.929459E-11	-1.069487E-10	-1.248757E-10
34	3721920836.162228	1.081412	23.500000	28.051418	-3.300000E-9	5.409680E-12	-3.112614E-11	-5.148031E-11	-6.944663E-11	-9.040840E-11	-1.092274E-10	-1.258298E-10
35	3721920872.717299	1.096854	23.500000	28.062236	-3.310000E-9	5.410570E-12	-3.361500E-11	-5.417260E-11	-7.313043E-11	-9.172622E-11	-1.073320E-10	-1.290022E-10
36	3721920908.996615	1.083194	23.500000	28.065644	-3.310000E-9	5.410490E-12	-3.577452E-11	-5.419139E-11	-7.271520E-11	-9.338971E-11	-1.090013E-10	-1.283352E-10
37	3721920945.562715	1.090399	23.500000	28.068379	-3.310000E-9	5.411700E-12	-3.562691E-11	-5.463953E-11	-7.283463E-11	-9.112066E-11	-1.102838E-10	-1.301759E-10
