#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.366800E-12
#37398_001_PSS_HM_XX_Irrad_20min_Interstrip
#Date/Time: 1/5/2022 4:33:55 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated 67 m in OT 11

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3724263304.258230	1.369556	-20.000000	25.851299	-3.038700E-5	5.395220E-12	-4.534882E-7	-6.385085E-7	-4.509648E-7	-4.515560E-7	-4.521960E-7	-4.529471E-7
2	3724263338.389504	1.345887	-20.000000	25.839070	-3.038000E-5	5.475390E-12	-5.742987E-7	-5.774190E-7	-5.828103E-7	-5.864200E-7	-5.884577E-7	-5.913465E-7
3	3724263372.294582	1.370222	-20.000000	25.839943	-3.037500E-5	5.490120E-12	-5.777848E-7	-5.787145E-7	-5.817718E-7	-5.868063E-7	-5.890046E-7	-5.969206E-7
4	3724263406.454854	1.381848	-20.000000	25.834275	-3.037300E-5	5.496200E-12	-5.793460E-7	-5.846891E-7	-5.889025E-7	-6.086428E-7	-6.000584E-7	-6.082956E-7
5	3724263440.542733	1.361749	-20.000000	25.862197	-3.037000E-5	5.498090E-12	-5.635389E-7	-5.528802E-7	-5.501959E-7	-5.769280E-7	-5.624795E-7	-6.641902E-7
6	3724263474.448467	1.352031	-20.000000	25.873691	-3.035100E-5	5.500810E-12	-7.493740E-7	-6.462347E-7	-7.489326E-7	-4.462621E-7	-4.501268E-7	-4.479632E-7
7	3724263507.561103	1.342885	-20.000000	25.891408	-3.036000E-5	5.490810E-12	-4.424596E-7	-4.442483E-7	-4.629235E-7	-4.467933E-7	-4.568133E-7	-4.466536E-7
8	3724263540.605709	1.367166	-20.000000	25.869073	-3.036600E-5	5.491100E-12	-4.435001E-7	-4.792889E-7	-6.785656E-7	-4.498997E-7	-4.687735E-7	-5.983221E-7
#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.365890E-12
#37398_001_PSS_HM_XX_Irrad_20min_Interstrip
#Date/Time: 1/5/2022 4:41:00 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated 67 m in OT 11

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-1.0	I_InterstripR_V-3.0	I_InterstripR_V-5.0
21	3724264167.795959	1.347164	-20.000000	25.789906	-3.027400E-5	5.491110E-12	-4.367062E-7	-4.385737E-7	-4.404317E-7
22	3724264190.231903	1.327704	-20.000000	25.755881	-3.025600E-5	5.491960E-12	-4.367042E-7	-4.384430E-7	-4.403373E-7
23	3724264211.951327	1.362098	-20.000000	25.753603	-3.025700E-5	5.491340E-12	-4.366672E-7	-4.384139E-7	-4.401616E-7
24	3724264233.712558	1.367955	-20.000000	25.741475	-3.026100E-5	5.494120E-12	-4.615172E-7	-4.671036E-7	-4.706494E-7
25	3724264255.189946	1.337872	-20.000000	25.751660	-3.025000E-5	5.494710E-12	-4.695655E-7	-4.742006E-7	-4.781348E-7
26	3724264276.858021	1.332690	-20.000000	25.758675	-3.026600E-5	5.491030E-12	-4.353323E-7	-4.372641E-7	-4.390473E-7
27	3724264298.940320	1.331247	-20.000000	25.730574	-3.024600E-5	5.493890E-12	-4.666029E-7	-5.001316E-7	-4.908285E-7
28	3724264320.975336	1.328209	-20.000000	25.710579	-3.025000E-5	5.492250E-12	-4.565814E-7	-4.599563E-7	-4.614600E-7
29	3724264343.017931	1.365910	-20.000000	25.710223	-3.024300E-5	5.491460E-12	-4.537898E-7	-4.563049E-7	-4.589462E-7
30	3724264365.079321	1.366906	-20.000000	25.699343	-3.024700E-5	5.494910E-12	-4.953591E-7	-5.000055E-7	-5.107440E-7
31	3724264387.125701	1.378987	-20.000000	25.714384	-3.026700E-5	5.491280E-12	-4.437207E-7	-4.457816E-7	-4.480678E-7
32	3724264409.171762	1.346938	-20.000000	25.717397	-3.023900E-5	5.498470E-12	-5.503080E-7	-5.560299E-7	-5.625303E-7
33	3724264431.371021	1.349668	-20.000000	25.705112	-3.022700E-5	5.496340E-12	-4.993433E-7	-5.018784E-7	-5.049111E-7
34	3724264453.311461	1.320271	-20.000000	25.733449	-3.023100E-5	5.494170E-12	-4.699144E-7	-4.727702E-7	-4.752467E-7
35	3724264475.348535	1.330028	-20.000000	25.737312	-3.023700E-5	5.492850E-12	-4.461306E-7	-4.484361E-7	-4.508766E-7
36	3724264497.386702	1.343647	-20.000000	25.728018	-3.023100E-5	5.492360E-12	-4.461500E-7	-4.485573E-7	-4.508846E-7
37	3724264519.581166	1.366969	-20.000000	25.717834	-3.022400E-5	5.492020E-12	-4.586507E-7	-4.606100E-7	-4.634851E-7
38	3724264541.649144	1.355129	-20.000000	25.707210	-3.021700E-5	5.490920E-12	-4.473755E-7	-4.499346E-7	-4.523571E-7
39	3724264563.614239	1.351481	-20.000000	25.691813	-3.021500E-5	5.492490E-12	-4.672071E-7	-4.691561E-7	-4.728369E-7
40	3724264585.793789	1.413858	-20.000000	25.686187	-3.021900E-5	5.491880E-12	-4.599875E-7	-4.634057E-7	-4.687639E-7
41	3724264607.884150	1.351882	-20.000000	25.690862	-3.024500E-5	5.489020E-12	-4.323672E-7	-4.343201E-7	-4.362312E-7
42	3724264629.328294	1.363873	-20.000000	25.685036	-3.023200E-5	5.491280E-12	-4.321381E-7	-4.341894E-7	-4.360768E-7
43	3724264651.036014	1.340096	-20.000000	25.671857	-3.022700E-5	5.490270E-12	-4.291215E-7	-4.310998E-7	-4.328265E-7
44	3724264673.052329	1.326953	-20.000000	25.682519	-3.021000E-5	5.499140E-12	-6.662585E-7	-6.827059E-7	-6.778500E-7
45	3724264694.916884	1.356219	-20.000000	25.673958	-3.021300E-5	5.489730E-12	-4.310302E-7	-4.327988E-7	-4.347595E-7
46	3724264716.964064	1.386418	-20.000000	25.677031	-3.019800E-5	5.490490E-12	-4.270353E-7	-4.289724E-7	-4.306985E-7
47	3724264739.035162	1.398152	-20.000000	25.674356	-3.022200E-5	5.488860E-12	-4.272764E-7	-4.289207E-7	-4.308778E-7
48	3724264761.101157	1.415976	-20.000000	25.648039	-3.022100E-5	5.489830E-12	-4.264917E-7	-4.282174E-7	-4.300258E-7
49	3724264783.151482	1.368499	-20.000000	25.629452	-3.021200E-5	5.489200E-12	-4.260385E-7	-4.279141E-7	-4.298573E-7
50	3724264805.210567	1.361373	-20.000000	25.638190	-3.020400E-5	5.489160E-12	-4.259340E-7	-4.276324E-7	-4.295059E-7
51	3724264827.288641	1.352226	-20.000000	25.628023	-3.020900E-5	5.491980E-12	-4.307109E-7	-4.329158E-7	-4.351685E-7
52	3724264849.311816	1.386950	-20.000000	25.635335	-3.023000E-5	5.490230E-12	-4.308593E-7	-4.327979E-7	-4.347305E-7
53	3724264871.325017	1.414622	-20.000000	25.623130	-3.021400E-5	5.491760E-12	-4.317133E-7	-4.341331E-7	-4.362026E-7
54	3724264893.400763	1.415799	-20.000000	25.605631	-3.018600E-5	5.491000E-12	-4.246885E-7	-4.265572E-7	-4.284940E-7
55	3724264915.672482	1.368048	-20.000000	25.604403	-3.018000E-5	5.489830E-12	-4.242081E-7	-4.260738E-7	-4.279325E-7
56	3724264937.711183	1.404734	-20.000000	25.602301	-3.015700E-5	5.487400E-12	-4.241626E-7	-4.257841E-7	-4.277711E-7
57	3724264959.524043	1.429105	-20.000000	25.611221	-3.016100E-5	5.480270E-12	-4.236352E-7	-4.254316E-7	-4.272300E-7
58	3724264981.661931	1.399676	-20.000000	25.619997	-3.015800E-5	5.462240E-12	-4.256204E-7	-4.274675E-7	-4.292903E-7
59	3724265003.834588	1.455618	-20.000000	25.624577	-3.014500E-5	5.404180E-12	-4.363793E-7	-4.381552E-7	-4.403583E-7
