#Open Capacitance 1000Hz:4.490150E-12
#Open Capacitance 1000000Hz:Not Measured
#37895_001_PSS_HM_XX_Unirrad_Single
#Date/Time: 12/7/2021 5:52:19 PM
#Sensor Name: 37895_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
11	3721762579.298359	1.729082	23.500000	28.600852	-3.740000E-9	-5.468480E-11	8.577600E-11	-3.359428E-11	-3.573110E-11	-3.544773E-11	-3.774483E-11	-3.562949E-11	-3.558941E-11	-3.344338E-6
12	3721762596.323481	1.664350	23.500000	28.610127	-3.740000E-9	-5.513532E-11	8.578050E-11	-3.608498E-11	-3.334361E-11	-3.498283E-11	-3.305373E-11	-3.436629E-11	-3.416322E-11	-3.340286E-6
13	3721762613.397909	1.609158	23.500000	28.621283	-3.740000E-9	-5.062957E-11	8.578220E-11	-3.620213E-11	-3.526292E-11	-3.566628E-11	-3.425911E-11	-3.534761E-11	-3.546460E-11	-3.344162E-6
14	3721762630.295547	1.593436	23.500000	28.632203	-3.730000E-9	-5.443447E-11	8.578260E-11	-3.679910E-11	-3.870201E-11	-3.711085E-11	-3.522367E-11	-3.695891E-11	-3.695498E-11	-3.340329E-6
15	3721762647.205069	1.560429	23.500000	28.645122	-3.740000E-9	-5.728819E-11	8.577960E-11	-4.572333E-11	-4.462364E-11	-4.598053E-11	-4.532018E-11	-4.541192E-11	-4.552176E-11	-3.344730E-6
16	3721762664.351392	1.524082	23.500000	28.637730	-3.730000E-9	-5.318287E-11	8.577880E-11	-3.969826E-11	-3.781514E-11	-3.906693E-11	-3.770946E-11	-3.857245E-11	-3.844103E-11	-3.347186E-6
17	3721762681.332571	1.471627	23.500000	28.643379	-3.730000E-9	-5.092999E-11	8.577730E-11	-3.791534E-11	-3.789756E-11	-3.722473E-11	-3.718958E-11	-3.755680E-11	-3.756114E-11	-3.347868E-6
18	3721762698.330012	1.473500	23.500000	28.646390	-3.730000E-9	-5.213155E-11	8.577750E-11	-3.612933E-11	-3.887926E-11	-3.729362E-11	-3.663308E-11	-3.723382E-11	-3.696335E-11	-3.348059E-6
19	3721762715.482846	1.446006	23.500000	28.658301	-3.730000E-9	-5.108016E-11	8.578220E-11	-3.454126E-11	-3.329293E-11	-3.723169E-11	-3.552134E-11	-3.514681E-11	-3.503130E-11	-3.349082E-6
20	3721762732.344398	1.425116	23.500000	28.650036	-3.740000E-9	-5.443448E-11	8.577980E-11	-3.934437E-11	-3.845484E-11	-3.873637E-11	-3.683262E-11	-3.834205E-11	-3.859561E-11	-3.348025E-6
21	3721762749.250307	1.407541	23.500000	28.657408	-3.730000E-9	-5.173100E-11	8.578170E-11	-3.536412E-11	-3.537272E-11	-3.790757E-11	-3.672998E-11	-3.634360E-11	-3.605135E-11	-3.351072E-6
22	3721762766.381233	1.373513	23.500000	28.674748	-3.730000E-9	-4.977848E-11	8.578350E-11	-3.981458E-11	-3.789508E-11	-3.860287E-11	-3.669379E-11	-3.825158E-11	-3.824897E-11	-3.347634E-6
23	3721762783.211335	1.386136	23.500000	28.685727	-3.730000E-9	-5.323291E-11	8.578630E-11	-3.799506E-11	-3.777282E-11	-3.508914E-11	-3.823895E-11	-3.727399E-11	-3.788394E-11	-3.346293E-6
24	3721762800.098123	1.364120	23.500000	28.680356	-3.730000E-9	-5.178107E-11	8.578520E-11	-3.486221E-11	-3.540233E-11	-3.754610E-11	-3.503556E-11	-3.571155E-11	-3.521895E-11	-3.346501E-6
25	3721762816.866685	1.338933	23.500000	28.693338	-3.730000E-9	-4.977851E-11	8.578680E-11	-3.522630E-11	-3.527128E-11	-3.619086E-11	-3.408737E-11	-3.519395E-11	-3.524879E-11	-3.343688E-6
26	3721762833.583615	1.335906	23.500000	28.700114	-3.730000E-9	-5.308274E-11	8.578470E-11	-3.760110E-11	-3.712189E-11	-3.813305E-11	-3.694607E-11	-3.745053E-11	-3.736150E-11	-3.346496E-6
27	3721762850.316701	1.345501	23.500000	28.677642	-3.730000E-9	-5.037927E-11	8.578840E-11	-3.558286E-11	-3.598112E-11	-3.695384E-11	-3.625282E-11	-3.619266E-11	-3.611697E-11	-3.344569E-6
28	3721762867.051942	1.342087	23.500000	28.695694	-3.730000E-9	-5.238181E-11	8.579260E-11	-3.901542E-11	-3.781004E-11	-4.056978E-11	-3.730159E-11	-3.867421E-11	-3.841273E-11	-3.345675E-6
29	3721762883.782512	1.291185	23.500000	28.715709	-3.730000E-9	-5.488502E-11	8.578740E-11	-3.918019E-11	-4.417736E-11	-4.048372E-11	-4.035349E-11	-4.104869E-11	-4.041861E-11	-3.354221E-6
30	3721762900.500086	1.286523	23.500000	28.721257	-3.730000E-9	-5.493513E-11	8.579130E-11	-4.058572E-11	-4.238704E-11	-4.206996E-11	-4.150059E-11	-4.163583E-11	-4.178527E-11	-3.349665E-6
31	3721762917.258189	1.288432	23.500000	28.718740	-3.730000E-9	-5.027915E-11	8.579370E-11	-3.615040E-11	-3.697532E-11	-3.874293E-11	-3.753794E-11	-3.735165E-11	-3.725663E-11	-3.355712E-6
32	3721762934.417229	1.282495	23.500000	28.720247	-3.730000E-9	-5.098003E-11	8.578900E-11	-3.487612E-11	-3.485363E-11	-3.414258E-11	-3.509038E-11	-3.474068E-11	-3.486487E-11	-3.354308E-6
33	3721762951.290410	1.282942	23.500000	28.727223	-3.730000E-9	-5.538571E-11	8.579290E-11	-3.998693E-11	-3.982133E-11	-3.943922E-11	-3.885228E-11	-3.952494E-11	-3.963028E-11	-3.352676E-6
34	3721762968.427741	1.265612	23.500000	28.723221	-3.730000E-9	-5.413407E-11	8.579540E-11	-3.911131E-11	-3.819623E-11	-3.968047E-11	-4.172631E-11	-3.967858E-11	-3.939589E-11	-3.352380E-6
