GCD Test
Bias: 5000.000000
CV_34330_048_2-S_HM_XX_DIODEHALF
Date/Time: 9/10/2021 10:03:37 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqfreq1000.0	LCR_Rp_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
 -400.0000	6.815E-12	3.252E+9	   19.9550	   22.2133	    9.6983	  -11.2152	
 -410.0000	6.812E-12	3.357E+9	   19.9524	   22.2090	    9.6929	  -11.2255	
 -420.0000	6.812E-12	3.220E+9	   19.9575	   22.2062	    9.6736	  -11.2525	
 -430.0000	6.808E-12	3.487E+9	   19.9653	   22.2026	    9.6578	  -11.2756	
 -440.0000	6.807E-12	3.211E+9	   19.9781	   22.2060	    9.6543	  -11.2776	
 -450.0000	6.803E-12	3.347E+9	   19.9936	   22.2027	    9.6284	  -11.3136	
 -460.0000	6.805E-12	3.336E+9	   20.0064	   22.2021	    9.6262	  -11.3170	
 -470.0000	6.801E-12	3.339E+9	   20.0167	   22.2024	    9.6142	  -11.3323	
 -480.0000	6.800E-12	3.165E+9	   20.0270	   22.1971	    9.6044	  -11.3491	
 -490.0000	6.799E-12	3.301E+9	   20.0296	   22.1902	    9.5933	  -11.3687	
 -500.0000	6.797E-12	3.105E+9	   20.0270	   22.1907	    9.5844	  -11.3798	
 -510.0000	6.797E-12	3.214E+9	   20.0219	   22.1954	    9.5724	  -11.3919	
 -520.0000	6.795E-12	3.265E+9	   20.0116	   22.1915	    9.5636	  -11.4064	
 -530.0000	6.792E-12	3.107E+9	   19.9987	   22.1888	    9.5490	  -11.4275	
 -540.0000	6.792E-12	3.125E+9	   19.9833	   22.1888	    9.5398	  -11.4395	
 -550.0000	6.793E-12	3.180E+9	   19.9730	   22.1923	    9.5262	  -11.4546	
 -560.0000	6.791E-12	3.305E+9	   19.9653	   22.1904	    9.5225	  -11.4610	
 -570.0000	6.790E-12	3.631E+9	   19.9601	   22.1870	    9.5035	  -11.4884	
 -580.0000	6.787E-12	3.271E+9	   19.9627	   22.1885	    9.5032	  -11.4877	
 -590.0000	6.788E-12	3.433E+9	   19.9704	   22.1831	    9.4807	  -11.5213	
 -600.0000	6.788E-12	3.208E+9	   19.9807	   22.1807	    9.4747	  -11.5310	
