#Open Capacitance 1000Hz:4.571930E-12
#Open Capacitance 1000000Hz:Not Measured
#34343_015_PSS_XX_HM_Irrad_20min
#Date/Time: 9/15/2021 3:55:18 PM
#Sensor Name: 34343_015_PSS_XX_HM
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
11	3714580748.658177	1.790347	-20.000000	22.814005	-2.903400E-5	-5.949184E-11	8.861110E-11	-5.067940E-7	-5.086980E-7	-5.102206E-7	-5.075736E-7	-5.083215E-7	-5.081358E-7	-1.504823E-6
12	3714580764.727709	1.772326	-20.000000	22.806099	-2.902400E-5	-5.693854E-11	8.849800E-11	-5.137898E-7	-5.137811E-7	-5.139840E-7	-5.144463E-7	-5.140003E-7	-5.138869E-7	-1.506766E-6
13	3714580781.251852	1.725957	-20.000000	22.815195	-2.901500E-5	-6.119409E-11	8.849660E-11	-5.084797E-7	-5.091794E-7	-5.090369E-7	-5.085605E-7	-5.088141E-7	-5.087987E-7	-1.497298E-6
14	3714580796.997478	1.795846	-20.000000	22.811569	-2.900000E-5	-5.278310E-11	8.849320E-11	-5.098204E-7	-5.095083E-7	-5.072783E-7	-5.077126E-7	-5.085799E-7	-5.086104E-7	-1.504668E-6
15	3714580812.923420	1.741849	-20.000000	22.822725	-2.901700E-5	-5.328377E-11	8.849700E-11	-5.114495E-7	-5.125768E-7	-5.127835E-7	-5.127893E-7	-5.123998E-7	-5.126801E-7	-1.496489E-6
16	3714580828.946430	1.705122	-20.000000	22.836221	-2.901100E-5	-5.518623E-11	8.849100E-11	-5.070734E-7	-5.061856E-7	-5.062275E-7	-5.085831E-7	-5.070174E-7	-5.066504E-7	-1.499459E-6
17	3714580845.044408	1.763157	-20.000000	22.827223	-2.902100E-5	-5.924151E-11	8.849540E-11	-5.176490E-7	-5.179548E-7	-5.177284E-7	-5.176479E-7	-5.177450E-7	-5.176887E-7	-1.491456E-6
18	3714580861.157355	1.755142	-20.000000	22.814304	-2.902100E-5	-5.488583E-11	8.849030E-11	-4.223845E-7	-4.223832E-7	-4.223850E-7	-4.224097E-7	-4.223906E-7	-4.223848E-7	-1.594436E-6
19	3714580877.047016	1.732923	-20.000000	22.811688	-2.901100E-5	-5.613747E-11	8.849250E-11	-4.225291E-7	-4.225125E-7	-4.224729E-7	-4.224416E-7	-4.224890E-7	-4.224927E-7	-1.596473E-6
20	3714580893.251023	1.691406	-20.000000	22.831961	-2.901300E-5	-6.074345E-11	8.849110E-11	-4.226348E-7	-4.226177E-7	-4.225469E-7	-4.225303E-7	-4.225824E-7	-4.225823E-7	-1.596097E-6
21	3714580909.180866	1.728984	-20.000000	22.811231	-2.901400E-5	-5.829033E-11	8.848450E-11	-4.237233E-7	-4.237269E-7	-4.237272E-7	-4.237525E-7	-4.237325E-7	-4.237270E-7	-1.595875E-6
22	3714580925.213666	1.742395	-20.000000	22.808556	-2.901900E-5	-5.954191E-11	8.849310E-11	-4.241967E-7	-4.242555E-7	-4.243178E-7	-4.243366E-7	-4.242767E-7	-4.242866E-7	-1.594272E-6
23	3714580941.243568	1.761234	-20.000000	22.809984	-2.902600E-5	-5.483576E-11	8.849380E-11	-4.247791E-7	-4.247959E-7	-4.248757E-7	-4.249541E-7	-4.248512E-7	-4.248358E-7	-1.595160E-6
24	3714580957.229961	1.731636	-20.000000	22.814125	-2.901800E-5	-5.914139E-11	8.849560E-11	-4.281113E-7	-4.281286E-7	-4.282297E-7	-4.283440E-7	-4.282034E-7	-4.281791E-7	-1.590178E-6
25	3714580973.267899	1.742426	-20.000000	22.811688	-2.903000E-5	-5.668822E-11	8.847890E-11	-5.061160E-7	-5.052260E-7	-5.018342E-7	-5.016284E-7	-5.037011E-7	-5.035301E-7	-1.507551E-6
26	3714580989.393291	1.759424	-20.000000	22.796408	-2.901600E-5	-5.919149E-11	8.851880E-11	-5.812176E-7	-5.783563E-7	-5.888405E-7	-5.772005E-7	-5.814037E-7	-5.797870E-7	-1.424383E-6
27	3714581005.332831	1.784762	-20.000000	22.798865	-2.902500E-5	-5.974220E-11	8.847950E-11	-5.890041E-7	-5.924860E-7	-5.821753E-7	-5.473275E-7	-5.777482E-7	-5.855897E-7	-1.462502E-6
28	3714581021.381083	1.746392	-20.000000	22.790106	-2.904400E-5	-5.994242E-11	8.850070E-11	-5.484430E-7	-5.499181E-7	-5.481677E-7	-5.482503E-7	-5.486948E-7	-5.483467E-7	-1.463289E-6
29	3714581037.368713	1.704584	-20.000000	22.796925	-2.905800E-5	-5.708869E-11	8.848880E-11	-5.472860E-7	-5.483837E-7	-5.474361E-7	-5.483334E-7	-5.478598E-7	-5.478848E-7	-1.466268E-6
30	3714581053.518536	1.709834	-20.000000	22.822784	-2.907000E-5	-5.904129E-11	8.849800E-11	-5.522061E-7	-5.510211E-7	-5.522493E-7	-5.496221E-7	-5.512746E-7	-5.516136E-7	-1.464436E-6
31	3714581069.935977	1.697489	-20.000000	22.823914	-2.906700E-5	-5.608740E-11	8.851070E-11	-5.541183E-7	-5.535192E-7	-5.541739E-7	-5.535970E-7	-5.538521E-7	-5.538577E-7	-1.461403E-6
32	3714581085.856937	1.698482	-20.000000	22.840044	-2.909100E-5	-5.753931E-11	8.849660E-11	-5.537053E-7	-5.531037E-7	-5.531901E-7	-5.533010E-7	-5.533250E-7	-5.532456E-7	-1.460114E-6
33	3714581101.556407	1.762657	-20.000000	22.810875	-2.906900E-5	-5.814012E-11	8.850970E-11	-5.509477E-7	-5.512197E-7	-5.513167E-7	-5.511016E-7	-5.511464E-7	-5.511606E-7	-1.461789E-6
34	3714581117.667587	1.745632	-20.000000	22.815751	-2.905000E-5	-5.984230E-11	8.851180E-11	-5.503534E-7	-5.489622E-7	-5.487282E-7	-5.480556E-7	-5.490249E-7	-5.488452E-7	-1.465665E-6
35	3714581133.949806	1.736731	-20.000000	22.811252	-2.904800E-5	-5.874085E-11	8.850280E-11	-5.509609E-7	-5.516860E-7	-5.505880E-7	-5.496284E-7	-5.507158E-7	-5.507744E-7	-1.465764E-6
36	3714581150.001081	1.706505	-20.000000	22.792961	-2.904600E-5	-5.643784E-11	8.849350E-11	-5.527274E-7	-5.529749E-7	-5.533097E-7	-5.537267E-7	-5.531847E-7	-5.531423E-7	-1.463299E-6
37	3714581165.982179	1.756264	-20.000000	22.802730	-2.903000E-5	-5.678833E-11	8.846820E-11	-5.564381E-7	-5.535823E-7	-5.538424E-7	-5.532320E-7	-5.542737E-7	-5.537124E-7	-1.463463E-6
38	3714581182.071457	1.725747	-20.000000	22.793457	-2.902300E-5	-5.588713E-11	8.849040E-11	-5.487670E-7	-5.486844E-7	-5.494158E-7	-5.481191E-7	-5.487466E-7	-5.487257E-7	-1.468993E-6
39	3714581197.996058	1.708098	-20.000000	22.798330	-2.903400E-5	-5.478569E-11	8.850910E-11	-5.510639E-7	-5.507610E-7	-5.506323E-7	-5.506754E-7	-5.507831E-7	-5.507182E-7	-1.467499E-6
