#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.297060E-12
#34253_037_PSS_XX_HM_IrradSensor_Interstrip
#Date/Time: 5/19/2021 3:55:52 PM
#Sensor Name: 34253_037_PSS_XX_HM_IrradSensor
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
21	3704299662.090651	2.287336	-20.000000	26.261047	-2.699500E-5	5.419010E-12	-3.831630E-7	-3.825205E-7	-3.831297E-7	-3.844407E-7	-3.850058E-7	-3.859641E-7
22	3704299693.991613	2.215875	-20.000000	26.271530	-2.714200E-5	5.417650E-12	-3.873423E-7	-3.900604E-7	-3.882146E-7	-3.923435E-7	-3.963535E-7	-4.025119E-7
23	3704299726.167234	2.233715	-20.000000	26.263325	-2.700000E-5	5.419850E-12	-3.911588E-7	-3.926882E-7	-3.928023E-7	-3.890795E-7	-3.926635E-7	-4.203138E-7
24	3704299758.186219	2.284663	-20.000000	26.286392	-2.707400E-5	5.417640E-12	-3.844483E-7	-3.849204E-7	-3.854196E-7	-3.856902E-7	-3.864406E-7	-3.874790E-7
25	3704299790.098318	2.264556	-20.000000	26.276582	-2.713200E-5	5.417360E-12	-3.830317E-7	-3.837079E-7	-3.845861E-7	-3.853710E-7	-3.861960E-7	-3.868810E-7
26	3704299822.198042	2.203950	-20.000000	26.232291	-2.710700E-5	5.417350E-12	-3.832884E-7	-3.840465E-7	-3.850254E-7	-3.857453E-7	-3.866768E-7	-3.877190E-7
27	3704299854.385133	2.173974	-20.000000	26.216756	-2.701400E-5	5.417520E-12	-3.840812E-7	-3.848863E-7	-3.854638E-7	-3.861949E-7	-3.867670E-7	-3.877927E-7
28	3704299886.435746	2.209669	-20.000000	26.217410	-2.703200E-5	5.417400E-12	-3.842755E-7	-3.849815E-7	-3.856965E-7	-3.862903E-7	-3.870703E-7	-3.879508E-7
29	3704299918.522710	2.360956	-20.000000	26.233878	-2.698300E-5	5.417550E-12	-3.845423E-7	-3.849710E-7	-3.860058E-7	-3.866076E-7	-3.876688E-7	-3.883763E-7
30	3704299950.403114	2.250729	-20.000000	26.217488	-2.710700E-5	5.417480E-12	-3.848764E-7	-3.857778E-7	-3.864866E-7	-3.870631E-7	-3.882083E-7	-3.886088E-7
31	3704299982.432698	2.272849	-20.000000	26.208571	-2.709500E-5	5.417310E-12	-3.849982E-7	-3.856439E-7	-3.864086E-7	-3.871368E-7	-3.879359E-7	-3.887463E-7
32	3704300014.401509	2.258603	-20.000000	26.205023	-2.710400E-5	5.416820E-12	-3.850637E-7	-3.861112E-7	-3.869111E-7	-3.877221E-7	-3.885505E-7	-3.892376E-7
33	3704300046.529323	2.265935	-20.000000	26.196821	-2.709900E-5	5.417520E-12	-3.855417E-7	-3.862435E-7	-3.871175E-7	-3.879749E-7	-3.918122E-7	-3.939766E-7
34	3704300078.511512	2.317626	-20.000000	26.197434	-2.709100E-5	5.418480E-12	-3.861958E-7	-3.869664E-7	-3.876355E-7	-3.885863E-7	-3.897746E-7	-3.915309E-7
35	3704300110.674350	2.269469	-20.000000	26.186356	-2.703100E-5	5.417560E-12	-3.865932E-7	-3.872325E-7	-3.879575E-7	-3.886999E-7	-3.902479E-7	-3.931144E-7
36	3704300142.564941	2.269423	-20.000000	26.155483	-2.708100E-5	5.418200E-12	-3.890306E-7	-3.999861E-7	-3.947113E-7	-4.253735E-7	-3.909374E-7	-3.908695E-7
37	3704300174.810599	2.209451	-20.000000	26.142265	-2.702900E-5	5.417980E-12	-3.868201E-7	-3.876777E-7	-3.886192E-7	-3.896709E-7	-3.900546E-7	-3.908497E-7
38	3704300206.741473	2.253391	-20.000000	26.147855	-2.707200E-5	5.417680E-12	-4.310297E-7	-3.945733E-7	-4.042515E-7	-3.939776E-7	-4.095495E-7	-3.933969E-7
39	3704300238.878605	2.223078	-20.000000	26.173299	-2.703200E-5	5.417860E-12	-3.883841E-7	-3.891329E-7	-3.896949E-7	-3.908952E-7	-3.914230E-7	-3.920724E-7
40	3704300270.792517	2.379708	-20.000000	26.167255	-2.707900E-5	5.418950E-12	-3.892063E-7	-3.925275E-7	-3.908030E-7	-3.908639E-7	-3.912301E-7	-3.920946E-7
41	3704300303.054415	2.253779	-20.000000	26.145673	-2.715400E-5	5.418130E-12	-3.893385E-7	-3.905665E-7	-3.924379E-7	-5.020067E-7	-5.234830E-7	-5.822983E-7
42	3704300336.427906	2.303166	-20.000000	26.119912	-2.713500E-5	5.417590E-12	-3.903534E-7	-4.087877E-7	-3.985815E-7	-3.920159E-7	-3.956816E-7	-3.933388E-7
43	3704300369.281662	2.216355	-20.000000	26.136122	-2.713300E-5	5.417490E-12	-3.897065E-7	-3.901801E-7	-3.913780E-7	-3.935039E-7	-3.997990E-7	-4.372971E-7
