#Open Capacitance 1000Hz:4.509180E-12
#Open Capacitance 1000000Hz:Not Measured
#34330_048_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 11/17/2021 11:45:56 AM
#Sensor Name: 34330_048_2-S_HM_XX_Irrad_1100min
#Type: P
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3720012425.490913	1.230534	-20.000000	24.922592	-5.808000E-6	-5.423442E-11	7.899380E-11	-8.281062E-8	-8.279492E-8	-8.278261E-8	-8.277930E-8	-8.279186E-8	-8.278876E-8	-1.999767E-6
2	3720012442.215553	1.253453	-20.000000	24.915953	-5.811000E-6	-5.283260E-11	7.902410E-11	-8.190327E-8	-8.188866E-8	-8.188946E-8	-8.189465E-8	-8.189401E-8	-8.189205E-8	-2.002885E-6
3	3720012457.947186	1.243005	-20.000000	24.893481	-5.812000E-6	-5.493533E-11	7.901390E-11	-8.157348E-8	-8.159080E-8	-8.160268E-8	-8.160670E-8	-8.159341E-8	-8.159674E-8	-2.004600E-6
#Open Capacitance 1000Hz:4.507000E-12
#Open Capacitance 1000000Hz:Not Measured
#34330_048_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 11/17/2021 11:52:40 AM
#Sensor Name: 34330_048_2-S_HM_XX_Irrad_1100min
#Type: P
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer
22	3720013118.534727	1.229882	-20.000000	24.806447	-5.786000E-6	-5.608684E-11	7.905920E-11	-8.001107E-8	-8.000411E-8	-7.999380E-8	-7.998366E-8	-7.999816E-8	-7.999895E-8	-2.003724E-6
23	3720013134.914404	1.221651	-20.000000	24.807597	-5.789000E-6	-5.513557E-11	7.904880E-11	-7.991180E-8	-7.992547E-8	-7.993003E-8	-7.991729E-8	-7.992115E-8	-7.992138E-8	-2.004966E-6
24	3720013150.916004	1.206475	-20.000000	24.822044	-5.787000E-6	-5.778897E-11	7.904640E-11	-7.990433E-8	-7.990285E-8	-7.989689E-8	-7.989138E-8	-7.989886E-8	-7.989987E-8	-2.006580E-6
25	3720013166.661082	1.211336	-20.000000	24.809221	-5.790000E-6	-5.218178E-11	7.903350E-11	-7.985118E-8	-7.986087E-8	-7.985327E-8	-7.983380E-8	-7.984978E-8	-7.985222E-8	-2.006457E-6
26	3720013182.532794	1.216174	-20.000000	24.774226	-5.790000E-6	-5.298282E-11	7.903490E-11	-7.974489E-8	-7.974243E-8	-7.974079E-8	-7.973187E-8	-7.973999E-8	-7.974161E-8	-2.006013E-6
27	3720013198.551558	1.220783	-20.000000	24.780171	-5.786000E-6	-5.158099E-11	7.903020E-11	-7.967706E-8	-7.968102E-8	-7.968422E-8	-7.968683E-8	-7.968228E-8	-7.968262E-8	-2.007191E-6
28	3720013214.681041	1.223347	-20.000000	24.783875	-5.781000E-6	-5.103025E-11	7.903250E-11	-7.958570E-8	-7.958404E-8	-7.958489E-8	-7.958613E-8	-7.958519E-8	-7.958530E-8	-2.009421E-6
29	3720013230.598256	1.208682	-20.000000	24.787979	-5.787000E-6	-5.213169E-11	7.903210E-11	-7.947470E-8	-7.947444E-8	-7.947838E-8	-7.948608E-8	-7.947840E-8	-7.947654E-8	-2.006095E-6
30	3720013246.625194	1.226277	-20.000000	24.774958	-5.790000E-6	-4.942820E-11	7.903170E-11	-7.940505E-8	-7.941234E-8	-7.942288E-8	-7.943112E-8	-7.941785E-8	-7.941761E-8	-2.008619E-6
31	3720013262.763235	1.193481	-20.000000	24.762951	-5.783000E-6	-5.368370E-11	7.903090E-11	-7.934189E-8	-7.934035E-8	-7.933659E-8	-7.932884E-8	-7.933692E-8	-7.933847E-8	-2.007489E-6
